PerturbationCondition,Level,Method,MeanARI,SDARI,MeanG,SDG,N
Shifted-cell fraction,2%,PCA,0.668147510203893,0.112936894676483,8.8,1.98885785202351,10
Shifted-cell fraction,2%,PcaGrid,0.00191932781903486,0.00145958373379204,12,3.09120616516523,10
Shifted-cell fraction,2%,PcaHubert,0.785772992572132,0.113198160439179,6.6,1.07496769977314,10
Shifted-cell fraction,2%,PCP,0.980987280973,0.00813317233454075,5,0,10
Shifted-cell fraction,2%,K's tau,0.84103881160892,0.103979440172113,6.2,0.918936583472681,10
Shifted-cell fraction,2%,Winsor,0.665711306321638,0.116258854060636,8.7,2.00277585143997,10
Shifted-cell fraction,2%,Quad,0.661348327407273,0.0890135641527424,8.7,1.56702123647242,10
Shifted-cell fraction,2%,Ball,0.783660826426453,0.131672735102014,6.7,1.41813649241218,10
Shifted-cell fraction,2%,Shell,0.644394992749748,0.0822905230704929,8.7,1.76698110409314,10
Shifted-cell fraction,2%,LR,0.753003682681831,0.128551199357432,7.1,1.52388392675499,10
Shifted-cell fraction,4%,PCA,0.646348971002419,0.0757949033605137,9,1.24721912892465,10
Shifted-cell fraction,4%,PcaGrid,0.00122596794502899,0.0018874402620842,12.3,4.16466618643613,10
Shifted-cell fraction,4%,PcaHubert,0.810083655548867,0.125039499310622,6.2,0.918936583472681,10
Shifted-cell fraction,4%,PCP,0.980725731657603,0.00782245876212461,5,0,10
Shifted-cell fraction,4%,K's tau,0.847994632890816,0.0998617344608575,6.1,0.875595035770913,10
Shifted-cell fraction,4%,Winsor,0.66192225437121,0.072218134686084,8.7,1.25166555703457,10
Shifted-cell fraction,4%,Quad,0.677131866803223,0.0876895737681747,8.4,1.50554530541816,10
Shifted-cell fraction,4%,Ball,0.762404892592673,0.0993023242954839,6.8,0.918936583472681,10
Shifted-cell fraction,4%,Shell,0.663890094977566,0.0602846020523603,8.1,0.994428926011753,10
Shifted-cell fraction,4%,LR,0.735711533678079,0.0934132212838565,7.3,1.25166555703457,10
Shifted-cell fraction,6%,PCA,0.66226043348067,0.0793364975355224,8.6,1.17378779077727,10
Shifted-cell fraction,6%,PcaGrid,0.00277033056687965,0.00315275180043805,9.1,3.900142447541,10
Shifted-cell fraction,6%,PcaHubert,0.787375063131864,0.114610430699408,6.5,0.97182531580755,10
Shifted-cell fraction,6%,PCP,0.955047476937744,0.0835138974544531,5.2,0.632455532033676,10
Shifted-cell fraction,6%,K's tau,0.802817136575216,0.129451187683853,6.7,1.33749350984926,10
Shifted-cell fraction,6%,Winsor,0.668117707823606,0.0707611437090659,8.6,1.07496769977314,10
Shifted-cell fraction,6%,Quad,0.698972699376571,0.0498770648317429,7.8,0.788810637746616,10
Shifted-cell fraction,6%,Ball,0.755351090917123,0.141761328680719,7.1,1.59513148186739,10
Shifted-cell fraction,6%,Shell,0.654413185795686,0.060606157618428,8.3,1.05934990547138,10
Shifted-cell fraction,6%,LR,0.763775868919497,0.0913809079797054,6.8,0.788810637746616,10
Shifted-cell fraction,8%,PCA,0.660415670008803,0.0598809451374104,8.6,0.699205898780101,10
Shifted-cell fraction,8%,PcaGrid,0.000711584698649868,0.00306625904395397,12.2,2.61618891604648,10
Shifted-cell fraction,8%,PcaHubert,0.789355136012494,0.115217646280959,6.5,0.97182531580755,10
