r,Method,Weight,Definition,Threshold_values_schematic,Visualization_range,Threshold_display,Source_note
2.356,Shell,1,,,,,
2.356,LR,0.897,,,,,
2.357,PCA,0.707106781186548,,,,,
2.357,K's tau,0.424268137462877,,,,,
2.357,Winsor,0.912176495545185,,,,,
2.357,Quad,0.832065959025094,,,,,
2.357,Ball,0,,,,,
2.357,Shell,1,,,,,
2.357,LR,0.8965,,,,,
2.358,PCA,0.707106781186548,,,,,
2.358,K's tau,0.424088210347752,,,,,
2.358,Winsor,0.911789652247668,,,,,
2.358,Quad,0.831360369945923,,,,,
2.358,Ball,0,,,,,
2.358,Shell,1,,,,,
2.358,LR,0.896,,,,,
2.359,PCA,0.707106781186548,,,,,
2.359,K's tau,0.423908435777872,,,,,
2.359,Winsor,0.911403136922425,,,,,
2.359,Quad,0.830655677992036,,,,,
2.359,Ball,0,,,,,
2.359,Shell,1,,,,,
2.359,LR,0.8955,,,,,
2.36,PCA,0.707106781186548,,,,,
2.36,K's tau,0.423728813559322,,,,,
2.36,Winsor,0.911016949152542,,,,,
2.36,Quad,0.829951881643206,,,,,
2.36,Ball,0,,,,,
2.36,Shell,1,,,,,
2.36,LR,0.895,,,,,
2.361,PCA,0.707106781186548,,,,,
2.361,K's tau,0.423549343498518,,,,,
2.361,Winsor,0.910631088521813,,,,,
2.361,Quad,0.829248979382422,,,,,
2.361,Ball,0,,,,,
2.361,Shell,1,,,,,
2.361,LR,0.8945,,,,,
2.362,PCA,0.707106781186548,,,,,
2.362,K's tau,0.423370025402202,,,,,
2.362,Winsor,0.910245554614733,,,,,
2.362,Quad,0.828546969695884,,,,,
2.362,Ball,0,,,,,
2.362,Shell,1,,,,,
2.362,LR,0.894,,,,,
2.363,PCA,0.707106781186548,,,,,
2.363,K's tau,0.423190859077444,,,,,
2.363,Winsor,0.909860347016504,,,,,
2.363,Quad,0.827845851072994,,,,,
2.363,Ball,0,,,,,
2.363,Shell,1,,,,,
2.363,LR,0.8935,,,,,
2.364,PCA,0.707106781186548,,,,,
2.364,K's tau,0.423011844331641,,,,,
2.364,Winsor,0.909475465313029,,,,,
2.364,Quad,0.82714562200635,,,,,
2.364,Ball,0,,,,,
2.364,Shell,1,,,,,
2.364,LR,0.893,,,,,
2.365,PCA,0.707106781186548,,,,,
2.365,K's tau,0.422832980972516,,,,,
2.365,Winsor,0.909090909090909,,,,,
2.365,Quad,0.826446280991736,,,,,
2.365,Ball,0,,,,,
2.365,Shell,1,,,,,
2.365,LR,0.8925,,,,,
2.366,PCA,0.707106781186548,,,,,
2.366,K's tau,0.422654268808115,,,,,
2.366,Winsor,0.908706677937447,,,,,
2.366,Quad,0.825747826528112,,,,,
2.366,Ball,0,,,,,
2.366,Shell,1,,,,,
2.366,LR,0.892,,,,,
2.367,PCA,0.707106781186548,,,,,
2.367,K's tau,0.42247570764681,,,,,
2.367,Winsor,0.908322771440642,,,,,
2.367,Quad,0.825050257117609,,,,,
2.367,Ball,0,,,,,
2.367,Shell,1,,,,,
2.367,LR,0.8915,,,,,
2.368,PCA,0.707106781186548,,,,,
2.368,K's tau,0.422297297297297,,,,,
2.368,Winsor,0.907939189189189,,,,,
2.368,Quad,0.824353571265522,,,,,
2.368,Ball,0,,,,,
2.368,Shell,1,,,,,
2.368,LR,0.891,,,,,
2.369,PCA,0.707106781186548,,,,,
2.369,K's tau,0.422119037568594,,,,,
2.369,Winsor,0.907555930772478,,,,,
2.369,Quad,0.823657767480299,,,,,
2.369,Ball,0,,,,,
2.369,Shell,1,,,,,
2.369,LR,0.8905,,,,,
2.37,PCA,0.707106781186548,,,,,
2.37,K's tau,0.421940928270042,,,,,
2.37,Winsor,0.907172995780591,,,,,
2.37,Quad,0.822962844273532,,,,,
2.37,Ball,0,,,,,
2.37,Shell,1,,,,,
2.37,LR,0.89,,,,,
2.371,PCA,0.707106781186548,,,,,
2.371,K's tau,0.421762969211303,,,,,
2.371,Winsor,0.906790383804302,,,,,
2.371,Quad,0.822268800159953,,,,,
2.371,Ball,0,,,,,
2.371,Shell,1,,,,,
2.371,LR,0.8895,,,,,
2.372,PCA,0.707106781186548,,,,,
2.372,K's tau,0.421585160202361,,,,,
2.372,Winsor,0.906408094435076,,,,,
2.372,Quad,0.821575633657425,,,,,
2.372,Ball,0,,,,,
2.372,Shell,1,,,,,
2.372,LR,0.889,,,,,
2.373,PCA,0.707106781186548,,,,,
2.373,K's tau,0.421407501053519,,,,,
2.373,Winsor,0.906026127265065,,,,,
2.373,Quad,0.820883343286933,,,,,
2.373,Ball,0,,,,,
2.373,Shell,1,,,,,
2.373,LR,0.8885,,,,,
2.374,PCA,0.707106781186548,,,,,
2.374,K's tau,0.4212299915754,,,,,
2.374,Winsor,0.905644481887111,,,,,
2.374,Quad,0.820191927572573,,,,,
2.374,Ball,0,,,,,
2.374,Shell,1,,,,,
2.374,LR,0.888,,,,,
2.375,PCA,0.707106781186548,,,,,
2.375,K's tau,0.421052631578947,,,,,
2.375,Winsor,0.905263157894737,,,,,
2.375,Quad,0.819501385041551,,,,,
2.375,Ball,0,,,,,
2.375,Shell,1,,,,,
2.375,LR,0.8875,,,,,
2.376,PCA,0.707106781186548,,,,,
2.376,K's tau,0.420875420875421,,,,,
2.376,Winsor,0.904882154882155,,,,,
2.376,Quad,0.818811714224172,,,,,
2.376,Ball,0,,,,,
2.376,Shell,1,,,,,
2.376,LR,0.887,,,,,
2.377,PCA,0.707106781186548,,,,,
2.377,K's tau,0.420698359276399,,,,,
2.377,Winsor,0.904501472444258,,,,,
2.377,Quad,0.81812291365383,,,,,
2.377,Ball,0,,,,,
2.377,Shell,1,,,,,
2.377,LR,0.8865,,,,,
2.378,PCA,0.707106781186548,,,,,
2.378,K's tau,0.420521446593776,,,,,
2.378,Winsor,0.904121110176619,,,,,
2.378,Quad,0.817434981867002,,,,,
2.378,Ball,0,,,,,
2.378,Shell,1,,,,,
2.378,LR,0.886,,,,,
2.379,PCA,0.707106781186548,,,,,
2.379,K's tau,0.420344682639765,,,,,
2.379,Winsor,0.903741067675494,,,,,
2.379,Quad,0.816747917403242,,,,,
2.379,Ball,0,,,,,
2.379,Shell,1,,,,,
2.379,LR,0.8855,,,,,
2.38,PCA,0.707106781186548,,,,,
2.38,K's tau,0.420168067226891,,,,,
2.38,Winsor,0.903361344537815,,,,,
2.38,Quad,0.816061718805169,,,,,
2.38,Ball,0,,,,,
2.38,Shell,1,,,,,
2.38,LR,0.885,,,,,
2.381,PCA,0.707106781186548,,,,,
2.381,K's tau,0.419991600167997,,,,,
2.381,Winsor,0.902981940361193,,,,,
2.381,Quad,0.815376384618465,,,,,
2.381,Ball,0,,,,,
2.381,Shell,1,,,,,
2.381,LR,0.8845,,,,,
2.382,PCA,0.707106781186548,,,,,
2.382,K's tau,0.419815281276239,,,,,
2.382,Winsor,0.902602854743913,,,,,
2.382,Quad,0.814691913391861,,,,,
2.382,Ball,0,,,,,
2.382,Shell,1,,,,,
2.382,LR,0.884,,,,,
2.383,PCA,0.707106781186548,,,,,
2.383,K's tau,0.419639110365086,,,,,
2.383,Winsor,0.902224087284935,,,,,
2.383,Quad,0.814008303677134,,,,,
2.383,Ball,0,,,,,
2.383,Shell,1,,,,,
2.383,LR,0.8835,,,,,
2.384,PCA,0.707106781186548,,,,,
2.384,K's tau,0.419463087248322,,,,,
2.384,Winsor,0.901845637583893,,,,,
2.384,Quad,0.813325554029098,,,,,
2.384,Ball,0,,,,,
2.384,Shell,1,,,,,
2.384,LR,0.883,,,,,
2.385,PCA,0.707106781186548,,,,,
2.385,K's tau,0.419287211740042,,,,,
2.385,Winsor,0.90146750524109,,,,,
2.385,Quad,0.812643663005595,,,,,
2.385,Ball,0,,,,,
2.385,Shell,1,,,,,
2.385,LR,0.8825,,,,,
2.386,PCA,0.707106781186548,,,,,
2.386,K's tau,0.419111483654652,,,,,
2.386,Winsor,0.901089689857502,,,,,
2.386,Quad,0.811962629167489,,,,,
2.386,Ball,0,,,,,
2.386,Shell,1,,,,,
2.386,LR,0.882,,,,,
2.387,PCA,0.707106781186548,,,,,
2.387,K's tau,0.418935902806871,,,,,
2.387,Winsor,0.900712191034772,,,,,
2.387,Quad,0.811282451078659,,,,,
2.387,Ball,0,,,,,
2.387,Shell,1,,,,,
2.387,LR,0.8815,,,,,
2.388,PCA,0.707106781186548,,,,,
2.388,K's tau,0.418760469011725,,,,,
2.388,Winsor,0.900335008375209,,,,,
2.388,Quad,0.810603127305988,,,,,
2.388,Ball,0,,,,,
2.388,Shell,1,,,,,
2.388,LR,0.881,,,,,
2.389,PCA,0.707106781186548,,,,,
2.389,K's tau,0.418585182084554,,,,,
2.389,Winsor,0.899958141481792,,,,,
2.389,Quad,0.80992465641936,,,,,
2.389,Ball,0,,,,,
2.389,Shell,1,,,,,
2.389,LR,0.8805,,,,,
2.39,PCA,0.707106781186548,,,,,
2.39,K's tau,0.418410041841004,,,,,
2.39,Winsor,0.899581589958159,,,,,
2.39,Quad,0.809247036991649,,,,,
2.39,Ball,0,,,,,
2.39,Shell,1,,,,,
2.39,LR,0.88,,,,,
2.391,PCA,0.707106781186548,,,,,
2.391,K's tau,0.418235048097031,,,,,
2.391,Winsor,0.899205353408616,,,,,
2.391,Quad,0.808570267598713,,,,,
2.391,Ball,0,,,,,
2.391,Shell,1,,,,,
2.391,LR,0.8795,,,,,
2.392,PCA,0.707106781186548,,,,,
2.392,K's tau,0.418060200668896,,,,,
2.392,Winsor,0.898829431438127,,,,,
2.392,Quad,0.807894346819387,,,,,
2.392,Ball,0,,,,,
2.392,Shell,1,,,,,
2.392,LR,0.879,,,,,
2.393,PCA,0.707106781186548,,,,,
2.393,K's tau,0.417885499373172,,,,,
2.393,Winsor,0.898453823652319,,,,,
2.393,Quad,0.807219273235473,,,,,
2.393,Ball,0,,,,,
2.393,Shell,1,,,,,
2.393,LR,0.8785,,,,,
2.394,PCA,0.707106781186548,,,,,
2.394,K's tau,0.417710944026734,,,,,
2.394,Winsor,0.898078529657477,,,,,
2.394,Quad,0.806545045431736,,,,,
2.394,Ball,0,,,,,
2.394,Shell,1,,,,,
2.394,LR,0.878,,,,,
2.395,PCA,0.707106781186548,,,,,
2.395,K's tau,0.417536534446764,,,,,
2.395,Winsor,0.897703549060543,,,,,
2.395,Quad,0.805871661995894,,,,,
2.395,Ball,0,,,,,
2.395,Shell,1,,,,,
2.395,LR,0.8775,,,,,
2.396,PCA,0.707106781186548,,,,,
2.396,K's tau,0.417362270450751,,,,,
2.396,Winsor,0.897328881469115,,,,,
2.396,Quad,0.805199121518614,,,,,
2.396,Ball,0,,,,,
2.396,Shell,1,,,,,
2.396,LR,0.877,,,,,
2.397,PCA,0.707106781186548,,,,,
2.397,K's tau,0.417188151856487,,,,,
2.397,Winsor,0.896954526491448,,,,,
2.397,Quad,0.804527422593497,,,,,
2.397,Ball,0,,,,,
2.397,Shell,1,,,,,
2.397,LR,0.8765,,,,,
2.398,PCA,0.707106781186548,,,,,
2.398,K's tau,0.417014178482068,,,,,
2.398,Winsor,0.896580483736447,,,,,
2.398,Quad,0.803856563817081,,,,,
2.398,Ball,0,,,,,
2.398,Shell,1,,,,,
2.398,LR,0.876,,,,,
2.399,PCA,0.707106781186548,,,,,
2.399,K's tau,0.416840350145894,,,,,
2.399,Winsor,0.896206752813672,,,,,
2.399,Quad,0.803186543788827,,,,,
2.399,Ball,0,,,,,
2.399,Shell,1,,,,,
2.399,LR,0.8755,,,,,
2.4,PCA,0.707106781186548,,,,,
2.4,K's tau,0.416666666666667,,,,,
2.4,Winsor,0.895833333333333,,,,,
2.4,Quad,0.802517361111111,,,,,
2.4,Ball,0,,,,,
2.4,Shell,1,,,,,
2.4,LR,0.875,,,,,
2.401,PCA,0.707106781186548,,,,,
2.401,K's tau,0.41649312786339,,,,,
2.401,Winsor,0.895460224906289,,,,,
2.401,Quad,0.801849014389222,,,,,
2.401,Ball,0,,,,,
2.401,Shell,1,,,,,
2.401,LR,0.8745,,,,,
2.402,PCA,0.707106781186548,,,,,
2.402,K's tau,0.416319733555371,,,,,
2.402,Winsor,0.895087427144047,,,,,
2.402,Quad,0.801181502231349,,,,,
2.402,Ball,0,,,,,
2.402,Shell,1,,,,,
2.402,LR,0.874,,,,,
2.403,PCA,0.707106781186548,,,,,
2.403,K's tau,0.416146483562214,,,,,
2.403,Winsor,0.89471493965876,,,,,
2.403,Quad,0.800514823248578,,,,,
2.403,Ball,0,,,,,
2.403,Shell,1,,,,,
2.403,LR,0.8735,,,,,
2.404,PCA,0.707106781186548,,,,,
2.404,K's tau,0.415973377703827,,,,,
2.404,Winsor,0.894342762063228,,,,,
2.404,Quad,0.799848976054884,,,,,
2.404,Ball,0,,,,,
2.404,Shell,1,,,,,
2.404,LR,0.873,,,,,
2.405,PCA,0.707106781186548,,,,,
2.405,K's tau,0.415800415800416,,,,,
2.405,Winsor,0.893970893970894,,,,,
2.405,Quad,0.799183959267119,,,,,
2.405,Ball,0,,,,,
2.405,Shell,1,,,,,
2.405,LR,0.8725,,,,,
2.406,PCA,0.707106781186548,,,,,
2.406,K's tau,0.415627597672486,,,,,
2.406,Winsor,0.893599334995844,,,,,
2.406,Quad,0.798519771505014,,,,,
2.406,Ball,0,,,,,
2.406,Shell,1,,,,,
2.406,LR,0.872,,,,,
2.407,PCA,0.707106781186548,,,,,
2.407,K's tau,0.415454923140839,,,,,
2.407,Winsor,0.893228084752804,,,,,
2.407,Quad,0.797856411391163,,,,,
2.407,Ball,0,,,,,
2.407,Shell,1,,,,,
2.407,LR,0.8715,,,,,
2.408,PCA,0.707106781186548,,,,,
2.408,K's tau,0.415282392026578,,,,,
2.408,Winsor,0.892857142857143,,,,,
2.408,Quad,0.79719387755102,,,,,
2.408,Ball,0,,,,,
2.408,Shell,1,,,,,
2.408,LR,0.871,,,,,
2.409,PCA,0.707106781186548,,,,,
2.409,K's tau,0.4151100041511,,,,,
2.409,Winsor,0.892486508924865,,,,,
2.409,Quad,0.796532168612893,,,,,
2.409,Ball,0,,,,,
2.409,Shell,1,,,,,
2.409,LR,0.8705,,,,,
2.41,PCA,0.707106781186548,,,,,
2.41,K's tau,0.4149377593361,,,,,
2.41,Winsor,0.892116182572614,,,,,
2.41,Quad,0.795871283207934,,,,,
2.41,Ball,0,,,,,
2.41,Shell,1,,,,,
2.41,LR,0.87,,,,,
2.411,PCA,0.707106781186548,,,,,
2.411,K's tau,0.414765657403567,,,,,
2.411,Winsor,0.891746163417669,,,,,
2.411,Quad,0.795211219970132,,,,,
2.411,Ball,0,,,,,
2.411,Shell,1,,,,,
2.411,LR,0.8695,,,,,
2.412,PCA,0.707106781186548,,,,,
2.412,K's tau,0.414593698175788,,,,,
2.412,Winsor,0.891376451077944,,,,,
2.412,Quad,0.79455197753631,,,,,
2.412,Ball,0,,,,,
2.412,Shell,1,,,,,
2.412,LR,0.869,,,,,
2.413,PCA,0.707106781186548,,,,,
2.413,K's tau,0.414421881475342,,,,,
2.413,Winsor,0.891007045171985,,,,,
2.413,Quad,0.793893554546112,,,,,
2.413,Ball,0,,,,,
2.413,Shell,1,,,,,
2.413,LR,0.8685,,,,,
2.414,PCA,0.707106781186548,,,,,
2.414,K's tau,0.414250207125104,,,,,
2.414,Winsor,0.890637945318973,,,,,
2.414,Quad,0.793235949642002,,,,,
2.414,Ball,0,,,,,
2.414,Shell,1,,,,,
2.414,LR,0.868,,,,,
2.415,PCA,0.707106781186548,,,,,
2.415,K's tau,0.41407867494824,,,,,
2.415,Winsor,0.890269151138716,,,,,
2.415,Quad,0.79257916146925,,,,,
2.415,Ball,0,,,,,
2.415,Shell,1,,,,,
2.415,LR,0.8675,,,,,
2.416,PCA,0.707106781186548,,,,,
2.416,K's tau,0.413907284768212,,,,,
2.416,Winsor,0.889900662251656,,,,,
2.416,Quad,0.791923188675935,,,,,
2.416,Ball,0,,,,,
2.416,Shell,1,,,,,
2.416,LR,0.867,,,,,
2.417,PCA,0.707106781186548,,,,,
2.417,K's tau,0.413736036408771,,,,,
2.417,Winsor,0.889532478278858,,,,,
2.417,Quad,0.791268029912927,,,,,
2.417,Ball,0,,,,,
2.417,Shell,1,,,,,
2.417,LR,0.8665,,,,,
2.418,PCA,0.707106781186548,,,,,
2.418,K's tau,0.413564929693962,,,,,
2.418,Winsor,0.889164598842018,,,,,
2.418,Quad,0.790613683833887,,,,,
2.418,Ball,0,,,,,
2.418,Shell,1,,,,,
2.418,LR,0.866,,,,,
2.419,PCA,0.707106781186548,,,,,
2.419,K's tau,0.413393964448119,,,,,
2.419,Winsor,0.888797023563456,,,,,
2.419,Quad,0.789960149095259,,,,,
2.419,Ball,0,,,,,
2.419,Shell,1,,,,,
2.419,LR,0.8655,,,,,
2.42,PCA,0.707106781186548,,,,,
2.42,K's tau,0.413223140495868,,,,,
2.42,Winsor,0.888429752066116,,,,,
2.42,Quad,0.78930742435626,,,,,
2.42,Ball,0,,,,,
2.42,Shell,1,,,,,
2.42,LR,0.865,,,,,
2.421,PCA,0.707106781186548,,,,,
2.421,K's tau,0.413052457662123,,,,,
2.421,Winsor,0.888062783973565,,,,,
2.421,Quad,0.788655508278878,,,,,
2.421,Ball,0,,,,,
2.421,Shell,1,,,,,
2.421,LR,0.8645,,,,,
2.422,PCA,0.707106781186548,,,,,
2.422,K's tau,0.412881915772089,,,,,
2.422,Winsor,0.887696118909992,,,,,
2.422,Quad,0.788004399527862,,,,,
2.422,Ball,0,,,,,
2.422,Shell,1,,,,,
2.422,LR,0.864,,,,,
2.423,PCA,0.707106781186548,,,,,
2.423,K's tau,0.412711514651259,,,,,
2.423,Winsor,0.887329756500206,,,,,
2.423,Quad,0.787354096770716,,,,,
2.423,Ball,0,,,,,
2.423,Shell,1,,,,,
2.423,LR,0.8635,,,,,
2.424,PCA,0.707106781186548,,,,,
2.424,K's tau,0.412541254125413,,,,,
2.424,Winsor,0.886963696369637,,,,,
2.424,Quad,0.78670459867769,,,,,
2.424,Ball,0,,,,,
2.424,Shell,1,,,,,
2.424,LR,0.863,,,,,
2.425,PCA,0.707106781186548,,,,,
2.425,K's tau,0.412371134020619,,,,,
2.425,Winsor,0.88659793814433,,,,,
2.425,Quad,0.786055903921777,,,,,
2.425,Ball,0,,,,,
2.425,Shell,1,,,,,
2.425,LR,0.8625,,,,,
2.426,PCA,0.707106781186548,,,,,
2.426,K's tau,0.412201154163232,,,,,
2.426,Winsor,0.886232481450948,,,,,
2.426,Quad,0.785408011178705,,,,,
2.426,Ball,0,,,,,
2.426,Shell,1,,,,,
2.426,LR,0.862,,,,,
2.427,PCA,0.707106781186548,,,,,
2.427,K's tau,0.412031314379893,,,,,
2.427,Winsor,0.88586732591677,,,,,
2.427,Quad,0.784760919126928,,,,,
2.427,Ball,0,,,,,
2.427,Shell,1,,,,,
2.427,LR,0.8615,,,,,
2.428,PCA,0.707106781186548,,,,,
2.428,K's tau,0.411861614497529,,,,,
2.428,Winsor,0.885502471169687,,,,,
2.428,Quad,0.784114626447622,,,,,
2.428,Ball,0,,,,,
2.428,Shell,1,,,,,
2.428,LR,0.861,,,,,
2.429,PCA,0.707106781186548,,,,,
2.429,K's tau,0.411692054343351,,,,,
2.429,Winsor,0.885137916838205,,,,,
2.429,Quad,0.783469131824677,,,,,
2.429,Ball,0,,,,,
2.429,Shell,1,,,,,
2.429,LR,0.8605,,,,,
2.43,PCA,0.707106781186548,,,,,
2.43,K's tau,0.411522633744856,,,,,
2.43,Winsor,0.88477366255144,,,,,
2.43,Quad,0.78282443394469,,,,,
2.43,Ball,0,,,,,
2.43,Shell,1,,,,,
2.43,LR,0.86,,,,,
2.431,PCA,0.707106781186548,,,,,
2.431,K's tau,0.411353352529823,,,,,
2.431,Winsor,0.88440970793912,,,,,
2.431,Quad,0.782180531496959,,,,,
2.431,Ball,0,,,,,
2.431,Shell,1,,,,,
2.431,LR,0.8595,,,,,
2.432,PCA,0.707106781186548,,,,,
2.432,K's tau,0.411184210526316,,,,,
2.432,Winsor,0.884046052631579,,,,,
2.432,Quad,0.781537423173476,,,,,
2.432,Ball,0,,,,,
2.432,Shell,1,,,,,
2.432,LR,0.859,,,,,
2.433,PCA,0.707106781186548,,,,,
2.433,K's tau,0.41101520756268,,,,,
2.433,Winsor,0.883682696259762,,,,,
2.433,Quad,0.780895107668922,,,,,
2.433,Ball,0,,,,,
2.433,Shell,1,,,,,
2.433,LR,0.8585,,,,,
2.434,PCA,0.707106781186548,,,,,
2.434,K's tau,0.410846343467543,,,,,
2.434,Winsor,0.883319638455218,,,,,
2.434,Quad,0.780253583680657,,,,,
2.434,Ball,0,,,,,
2.434,Shell,1,,,,,
2.434,LR,0.858,,,,,
2.435,PCA,0.707106781186548,,,,,
2.435,K's tau,0.410677618069815,,,,,
2.435,Winsor,0.882956878850103,,,,,
2.435,Quad,0.779612849908715,,,,,
2.435,Ball,0,,,,,
2.435,Shell,1,,,,,
2.435,LR,0.8575,,,,,
2.436,PCA,0.707106781186548,,,,,
2.436,K's tau,0.410509031198686,,,,,
2.436,Winsor,0.882594417077176,,,,,
2.436,Quad,0.7789729050558,,,,,
2.436,Ball,0,,,,,
2.436,Shell,1,,,,,
2.436,LR,0.857,,,,,
2.437,PCA,0.707106781186548,,,,,
2.437,K's tau,0.410340582683627,,,,,
2.437,Winsor,0.882232252769799,,,,,
2.437,Quad,0.778333747827274,,,,,
2.437,Ball,0,,,,,
2.437,Shell,1,,,,,
2.437,LR,0.8565,,,,,
2.438,PCA,0.707106781186548,,,,,
2.438,K's tau,0.410172272354389,,,,,
2.438,Winsor,0.881870385561936,,,,,
2.438,Quad,0.777695376931158,,,,,
2.438,Ball,0,,,,,
2.438,Shell,1,,,,,
2.438,LR,0.856,,,,,
2.439,PCA,0.707106781186548,,,,,
2.439,K's tau,0.410004100041,,,,,
2.439,Winsor,0.881508815088151,,,,,
2.439,Quad,0.777057791078116,,,,,
2.439,Ball,0,,,,,
2.439,Shell,1,,,,,
2.439,LR,0.8555,,,,,
2.44,PCA,0.707106781186548,,,,,
2.44,K's tau,0.409836065573771,,,,,
2.44,Winsor,0.881147540983607,,,,,
2.44,Quad,0.776420988981457,,,,,
2.44,Ball,0,,,,,
2.44,Shell,1,,,,,
2.44,LR,0.855,,,,,
2.441,PCA,0.707106781186548,,,,,
2.441,K's tau,0.409668168783286,,,,,
2.441,Winsor,0.880786562884064,,,,,
2.441,Quad,0.775784969357123,,,,,
2.441,Ball,0,,,,,
2.441,Shell,1,,,,,
2.441,LR,0.8545,,,,,
2.442,PCA,0.707106781186548,,,,,
2.442,K's tau,0.40950040950041,,,,,
2.442,Winsor,0.88042588042588,,,,,
2.442,Quad,0.775149730923687,,,,,
2.442,Ball,0,,,,,
2.442,Shell,1,,,,,
2.442,LR,0.854,,,,,
2.443,PCA,0.707106781186548,,,,,
2.443,K's tau,0.409332787556283,,,,,
2.443,Winsor,0.880065493246009,,,,,
2.443,Quad,0.774515272402341,,,,,
2.443,Ball,0,,,,,
2.443,Shell,1,,,,,
2.443,LR,0.8535,,,,,
2.444,PCA,0.707106781186548,,,,,
2.444,K's tau,0.409165302782324,,,,,
2.444,Winsor,0.879705400981997,,,,,
2.444,Quad,0.773881592516896,,,,,
2.444,Ball,0,,,,,
2.444,Shell,1,,,,,
2.444,LR,0.853,,,,,
2.445,PCA,0.707106781186548,,,,,
2.445,K's tau,0.408997955010225,,,,,
2.445,Winsor,0.879345603271984,,,,,
2.445,Quad,0.773248689993769,,,,,
2.445,Ball,0,,,,,
2.445,Shell,1,,,,,
2.445,LR,0.8525,,,,,
2.446,PCA,0.707106781186548,,,,,
2.446,K's tau,0.408830744071954,,,,,
2.446,Winsor,0.878986099754702,,,,,
2.446,Quad,0.772616563561982,,,,,
2.446,Ball,0,,,,,
2.446,Shell,1,,,,,
2.446,LR,0.852,,,,,
2.447,PCA,0.707106781186548,,,,,
2.447,K's tau,0.408663669799755,,,,,
2.447,Winsor,0.878626890069473,,,,,
2.447,Quad,0.771985211953154,,,,,
2.447,Ball,0,,,,,
2.447,Shell,1,,,,,
2.447,LR,0.8515,,,,,
2.448,PCA,0.707106781186548,,,,,
2.448,K's tau,0.408496732026144,,,,,
2.448,Winsor,0.878267973856209,,,,,
2.448,Quad,0.771354633901491,,,,,
2.448,Ball,0,,,,,
2.448,Shell,1,,,,,
2.448,LR,0.851,,,,,
2.449,PCA,0.707106781186548,,,,,
2.449,K's tau,0.408329930583912,,,,,
2.449,Winsor,0.877909350755411,,,,,
2.449,Quad,0.770724828143786,,,,,
2.449,Ball,0,,,,,
2.449,Shell,1,,,,,
2.449,LR,0.8505,,,,,
2.45,PCA,0.707106781186548,,,,,
2.45,K's tau,0.408163265306123,,,,,
2.45,Winsor,0.877551020408163,,,,,
2.45,Quad,0.770095793419409,,,,,
2.45,Ball,0,,,,,
2.45,Shell,1,,,,,
2.45,LR,0.85,,,,,
2.451,PCA,0.707106781186548,,,,,
2.451,K's tau,0.407996736026112,,,,,
2.451,Winsor,0.87719298245614,,,,,
2.451,Quad,0.769467528470299,,,,,
2.451,Ball,0,,,,,
2.451,Shell,1,,,,,
2.451,LR,0.8495,,,,,
2.452,PCA,0.707106781186548,,,,,
2.452,K's tau,0.407830342577488,,,,,
2.452,Winsor,0.876835236541599,,,,,
2.452,Quad,0.768840032040961,,,,,
2.452,Ball,0,,,,,
2.452,Shell,1,,,,,
2.452,LR,0.849,,,,,
2.453,PCA,0.707106781186548,,,,,
2.453,K's tau,0.40766408479413,,,,,
2.453,Winsor,0.876477782307379,,,,,
2.453,Quad,0.768213302878461,,,,,
2.453,Ball,0,,,,,
2.453,Shell,1,,,,,
2.453,LR,0.8485,,,,,
2.454,PCA,0.707106781186548,,,,,
2.454,K's tau,0.407497962510188,,,,,
2.454,Winsor,0.876120619396903,,,,,
2.454,Quad,0.767587339732413,,,,,
2.454,Ball,0,,,,,
2.454,Shell,1,,,,,
2.454,LR,0.848,,,,,
2.455,PCA,0.707106781186548,,,,,
2.455,K's tau,0.407331975560082,,,,,
2.455,Winsor,0.875763747454175,,,,,
2.455,Quad,0.76696214135498,,,,,
2.455,Ball,0,,,,,
2.455,Shell,1,,,,,
2.455,LR,0.8475,,,,,
2.456,PCA,0.707106781186548,,,,,
2.456,K's tau,0.407166123778502,,,,,
2.456,Winsor,0.875407166123778,,,,,
2.456,Quad,0.766337706500865,,,,,
2.456,Ball,0,,,,,
2.456,Shell,1,,,,,
2.456,LR,0.847,,,,,
2.457,PCA,0.707106781186548,,,,,
2.457,K's tau,0.407000407000407,,,,,
2.457,Winsor,0.875050875050875,,,,,
2.457,Quad,0.765714033927302,,,,,
2.457,Ball,0,,,,,
2.457,Shell,1,,,,,
2.457,LR,0.8465,,,,,
2.458,PCA,0.707106781186548,,,,,
2.458,K's tau,0.406834825061025,,,,,
2.458,Winsor,0.874694873881204,,,,,
2.458,Quad,0.765091122394056,,,,,
2.458,Ball,0,,,,,
2.458,Shell,1,,,,,
2.458,LR,0.846,,,,,
2.459,PCA,0.707106781186548,,,,,
2.459,K's tau,0.406669377795852,,,,,
2.459,Winsor,0.874339162261082,,,,,
2.459,Quad,0.764468970663411,,,,,
2.459,Ball,0,,,,,
2.459,Shell,1,,,,,
2.459,LR,0.8455,,,,,
2.46,PCA,0.707106781186548,,,,,
2.46,K's tau,0.40650406504065,,,,,
2.46,Winsor,0.873983739837398,,,,,
2.46,Quad,0.763847577500165,,,,,
2.46,Ball,0,,,,,
2.46,Shell,1,,,,,
2.46,LR,0.845,,,,,
2.461,PCA,0.707106781186548,,,,,
2.461,K's tau,0.406338886631451,,,,,
2.461,Winsor,0.873628606257619,,,,,
2.461,Quad,0.76322694167163,,,,,
2.461,Ball,0,,,,,
2.461,Shell,1,,,,,
2.461,LR,0.8445,,,,,
