r,Method,Weight,Definition,Threshold_values_schematic,Visualization_range,Threshold_display,Source_note
0.04,PCA,0.707106781186548,,,,,
0.04,K's tau,25,,,,,
0.04,Winsor,1,,,,,
0.04,Quad,1,,,,,
0.04,Ball,1,,,,,
0.04,Shell,0,,,,,
0.04,LR,1,,,,,
0.041,PCA,0.707106781186548,,,,,
0.041,K's tau,24.390243902439,,,,,
0.041,Winsor,1,,,,,
0.041,Quad,1,,,,,
0.041,Ball,1,,,,,
0.041,Shell,0,,,,,
0.041,LR,1,,,,,
0.042,PCA,0.707106781186548,,,,,
0.042,K's tau,23.8095238095238,,,,,
0.042,Winsor,1,,,,,
0.042,Quad,1,,,,,
0.042,Ball,1,,,,,
0.042,Shell,0,,,,,
0.042,LR,1,,,,,
0.043,PCA,0.707106781186548,,,,,
0.043,K's tau,23.2558139534884,,,,,
0.043,Winsor,1,,,,,
0.043,Quad,1,,,,,
0.043,Ball,1,,,,,
0.043,Shell,0,,,,,
0.043,LR,1,,,,,
0.044,PCA,0.707106781186548,,,,,
0.044,K's tau,22.7272727272727,,,,,
0.044,Winsor,1,,,,,
0.044,Quad,1,,,,,
0.044,Ball,1,,,,,
0.044,Shell,0,,,,,
0.044,LR,1,,,,,
0.045,PCA,0.707106781186548,,,,,
0.045,K's tau,22.2222222222222,,,,,
0.045,Winsor,1,,,,,
0.045,Quad,1,,,,,
0.045,Ball,1,,,,,
0.045,Shell,0,,,,,
0.045,LR,1,,,,,
0.046,PCA,0.707106781186548,,,,,
0.046,K's tau,21.7391304347826,,,,,
0.046,Winsor,1,,,,,
0.046,Quad,1,,,,,
0.046,Ball,1,,,,,
0.046,Shell,0,,,,,
0.046,LR,1,,,,,
0.047,PCA,0.707106781186548,,,,,
0.047,K's tau,21.2765957446809,,,,,
0.047,Winsor,1,,,,,
0.047,Quad,1,,,,,
0.047,Ball,1,,,,,
0.047,Shell,0,,,,,
0.047,LR,1,,,,,
0.048,PCA,0.707106781186548,,,,,
0.048,K's tau,20.8333333333333,,,,,
0.048,Winsor,1,,,,,
0.048,Quad,1,,,,,
0.048,Ball,1,,,,,
0.048,Shell,0,,,,,
0.048,LR,1,,,,,
0.049,PCA,0.707106781186548,,,,,
0.049,K's tau,20.4081632653061,,,,,
0.049,Winsor,1,,,,,
0.049,Quad,1,,,,,
0.049,Ball,1,,,,,
0.049,Shell,0,,,,,
0.049,LR,1,,,,,
0.05,PCA,0.707106781186548,,,,,
0.05,K's tau,20,,,,,
0.05,Winsor,1,,,,,
0.05,Quad,1,,,,,
0.05,Ball,1,,,,,
0.05,Shell,0,,,,,
0.05,LR,1,,,,,
0.051,PCA,0.707106781186548,,,,,
0.051,K's tau,19.6078431372549,,,,,
0.051,Winsor,1,,,,,
0.051,Quad,1,,,,,
0.051,Ball,1,,,,,
0.051,Shell,0,,,,,
0.051,LR,1,,,,,
0.052,PCA,0.707106781186548,,,,,
0.052,K's tau,19.2307692307692,,,,,
0.052,Winsor,1,,,,,
0.052,Quad,1,,,,,
0.052,Ball,1,,,,,
0.052,Shell,0,,,,,
0.052,LR,1,,,,,
0.053,PCA,0.707106781186548,,,,,
0.053,K's tau,18.8679245283019,,,,,
0.053,Winsor,1,,,,,
0.053,Quad,1,,,,,
0.053,Ball,1,,,,,
0.053,Shell,0,,,,,
0.053,LR,1,,,,,
0.054,PCA,0.707106781186548,,,,,
0.054,K's tau,18.5185185185185,,,,,
0.054,Winsor,1,,,,,
0.054,Quad,1,,,,,
0.054,Ball,1,,,,,
0.054,Shell,0,,,,,
0.054,LR,1,,,,,
0.055,PCA,0.707106781186548,,,,,
0.055,K's tau,18.1818181818182,,,,,
0.055,Winsor,1,,,,,
0.055,Quad,1,,,,,
0.055,Ball,1,,,,,
0.055,Shell,0,,,,,
0.055,LR,1,,,,,
0.056,PCA,0.707106781186548,,,,,
0.056,K's tau,17.8571428571429,,,,,
0.056,Winsor,1,,,,,
0.056,Quad,1,,,,,
0.056,Ball,1,,,,,
0.056,Shell,0,,,,,
0.056,LR,1,,,,,
0.057,PCA,0.707106781186548,,,,,
0.057,K's tau,17.5438596491228,,,,,
0.057,Winsor,1,,,,,
0.057,Quad,1,,,,,
0.057,Ball,1,,,,,
0.057,Shell,0,,,,,
0.057,LR,1,,,,,
0.058,PCA,0.707106781186548,,,,,
0.058,K's tau,17.2413793103448,,,,,
0.058,Winsor,1,,,,,
0.058,Quad,1,,,,,
0.058,Ball,1,,,,,
0.058,Shell,0,,,,,
0.058,LR,1,,,,,
0.059,PCA,0.707106781186548,,,,,
0.059,K's tau,16.9491525423729,,,,,
0.059,Winsor,1,,,,,
0.059,Quad,1,,,,,
0.059,Ball,1,,,,,
0.059,Shell,0,,,,,
0.059,LR,1,,,,,
0.06,PCA,0.707106781186548,,,,,
0.06,K's tau,16.6666666666667,,,,,
0.06,Winsor,1,,,,,
0.06,Quad,1,,,,,
0.06,Ball,1,,,,,
0.06,Shell,0,,,,,
0.06,LR,1,,,,,
0.061,PCA,0.707106781186548,,,,,
0.061,K's tau,16.3934426229508,,,,,
0.061,Winsor,1,,,,,
0.061,Quad,1,,,,,
0.061,Ball,1,,,,,
0.061,Shell,0,,,,,
0.061,LR,1,,,,,
0.062,PCA,0.707106781186548,,,,,
0.062,K's tau,16.1290322580645,,,,,
0.062,Winsor,1,,,,,
0.062,Quad,1,,,,,
0.062,Ball,1,,,,,
0.062,Shell,0,,,,,
0.062,LR,1,,,,,
0.063,PCA,0.707106781186548,,,,,
0.063,K's tau,15.8730158730159,,,,,
0.063,Winsor,1,,,,,
0.063,Quad,1,,,,,
0.063,Ball,1,,,,,
0.063,Shell,0,,,,,
0.063,LR,1,,,,,
0.064,PCA,0.707106781186548,,,,,
0.064,K's tau,15.625,,,,,
0.064,Winsor,1,,,,,
0.064,Quad,1,,,,,
0.064,Ball,1,,,,,
0.064,Shell,0,,,,,
0.064,LR,1,,,,,
0.065,PCA,0.707106781186548,,,,,
0.065,K's tau,15.3846153846154,,,,,
0.065,Winsor,1,,,,,
0.065,Quad,1,,,,,
0.065,Ball,1,,,,,
0.065,Shell,0,,,,,
0.065,LR,1,,,,,
0.066,PCA,0.707106781186548,,,,,
0.066,K's tau,15.1515151515152,,,,,
0.066,Winsor,1,,,,,
0.066,Quad,1,,,,,
0.066,Ball,1,,,,,
0.066,Shell,0,,,,,
0.066,LR,1,,,,,
0.067,PCA,0.707106781186548,,,,,
0.067,K's tau,14.9253731343284,,,,,
0.067,Winsor,1,,,,,
0.067,Quad,1,,,,,
0.067,Ball,1,,,,,
0.067,Shell,0,,,,,
0.067,LR,1,,,,,
0.068,PCA,0.707106781186548,,,,,
0.068,K's tau,14.7058823529412,,,,,
0.068,Winsor,1,,,,,
0.068,Quad,1,,,,,
0.068,Ball,1,,,,,
0.068,Shell,0,,,,,
0.068,LR,1,,,,,
0.069,PCA,0.707106781186548,,,,,
0.069,K's tau,14.4927536231884,,,,,
0.069,Winsor,1,,,,,
0.069,Quad,1,,,,,
0.069,Ball,1,,,,,
0.069,Shell,0,,,,,
0.069,LR,1,,,,,
0.07,PCA,0.707106781186548,,,,,
0.07,K's tau,14.2857142857143,,,,,
0.07,Winsor,1,,,,,
0.07,Quad,1,,,,,
0.07,Ball,1,,,,,
0.07,Shell,0,,,,,
0.07,LR,1,,,,,
0.071,PCA,0.707106781186548,,,,,
0.071,K's tau,14.0845070422535,,,,,
0.071,Winsor,1,,,,,
0.071,Quad,1,,,,,
0.071,Ball,1,,,,,
0.071,Shell,0,,,,,
0.071,LR,1,,,,,
0.072,PCA,0.707106781186548,,,,,
0.072,K's tau,13.8888888888889,,,,,
0.072,Winsor,1,,,,,
0.072,Quad,1,,,,,
0.072,Ball,1,,,,,
0.072,Shell,0,,,,,
0.072,LR,1,,,,,
0.073,PCA,0.707106781186548,,,,,
0.073,K's tau,13.6986301369863,,,,,
0.073,Winsor,1,,,,,
0.073,Quad,1,,,,,
0.073,Ball,1,,,,,
0.073,Shell,0,,,,,
0.073,LR,1,,,,,
0.074,PCA,0.707106781186548,,,,,
0.074,K's tau,13.5135135135135,,,,,
0.074,Winsor,1,,,,,
0.074,Quad,1,,,,,
0.074,Ball,1,,,,,
0.074,Shell,0,,,,,
0.074,LR,1,,,,,
0.075,PCA,0.707106781186548,,,,,
0.075,K's tau,13.3333333333333,,,,,
0.075,Winsor,1,,,,,
0.075,Quad,1,,,,,
0.075,Ball,1,,,,,
0.075,Shell,0,,,,,
0.075,LR,1,,,,,
0.076,PCA,0.707106781186548,,,,,
0.076,K's tau,13.1578947368421,,,,,
0.076,Winsor,1,,,,,
0.076,Quad,1,,,,,
0.076,Ball,1,,,,,
0.076,Shell,0,,,,,
0.076,LR,1,,,,,
0.077,PCA,0.707106781186548,,,,,
0.077,K's tau,12.987012987013,,,,,
0.077,Winsor,1,,,,,
0.077,Quad,1,,,,,
0.077,Ball,1,,,,,
0.077,Shell,0,,,,,
0.077,LR,1,,,,,
0.078,PCA,0.707106781186548,,,,,
0.078,K's tau,12.8205128205128,,,,,
0.078,Winsor,1,,,,,
0.078,Quad,1,,,,,
0.078,Ball,1,,,,,
0.078,Shell,0,,,,,
0.078,LR,1,,,,,
0.079,PCA,0.707106781186548,,,,,
0.079,K's tau,12.6582278481013,,,,,
0.079,Winsor,1,,,,,
0.079,Quad,1,,,,,
0.079,Ball,1,,,,,
0.079,Shell,0,,,,,
0.079,LR,1,,,,,
0.08,PCA,0.707106781186548,,,,,
0.08,K's tau,12.5,,,,,
0.08,Winsor,1,,,,,
0.08,Quad,1,,,,,
0.08,Ball,1,,,,,
0.08,Shell,0,,,,,
0.08,LR,1,,,,,
0.081,PCA,0.707106781186548,,,,,
0.081,K's tau,12.3456790123457,,,,,
0.081,Winsor,1,,,,,
0.081,Quad,1,,,,,
0.081,Ball,1,,,,,
0.081,Shell,0,,,,,
0.081,LR,1,,,,,
0.082,PCA,0.707106781186548,,,,,
0.082,K's tau,12.1951219512195,,,,,
0.082,Winsor,1,,,,,
0.082,Quad,1,,,,,
0.082,Ball,1,,,,,
0.082,Shell,0,,,,,
0.082,LR,1,,,,,
0.083,PCA,0.707106781186548,,,,,
0.083,K's tau,12.0481927710843,,,,,
0.083,Winsor,1,,,,,
0.083,Quad,1,,,,,
0.083,Ball,1,,,,,
0.083,Shell,0,,,,,
0.083,LR,1,,,,,
0.084,PCA,0.707106781186548,,,,,
0.084,K's tau,11.9047619047619,,,,,
0.084,Winsor,1,,,,,
0.084,Quad,1,,,,,
0.084,Ball,1,,,,,
0.084,Shell,0,,,,,
0.084,LR,1,,,,,
0.085,PCA,0.707106781186548,,,,,
0.085,K's tau,11.7647058823529,,,,,
0.085,Winsor,1,,,,,
0.085,Quad,1,,,,,
0.085,Ball,1,,,,,
0.085,Shell,0,,,,,
0.085,LR,1,,,,,
0.086,PCA,0.707106781186548,,,,,
0.086,K's tau,11.6279069767442,,,,,
0.086,Winsor,1,,,,,
0.086,Quad,1,,,,,
0.086,Ball,1,,,,,
