SettingID,Panel,Cell,Gene,CellType,de_prob,DeFacLoc,BackgroundDropoutMid,InputDesign,MasterCell,MasterGene,Method,MethodLabel,Calibration,Alpha,PC,TimerScope,Threads,CodeVersion,MethodFileMD5,SimulationFileMD5,N,AnalysisGenesMin,AnalysisGenesMedian,AnalysisGenesMax,MeanRuntimeSec,SDRuntimeSec,SERuntimeSec,MedianRuntimeSec,Q25RuntimeSec,Q75RuntimeSec,MinRuntimeSec,MaxRuntimeSec,MedianFitSec,MedianScoreSec,MedianGeometrySec,MedianWeightSec,MedianScatterSec,MedianEigenSec,FigurePanel
4,gene_scaling,2000,3000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,PCA,PCA,none,,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,2983,2986,2987,6.343,0.212935436224223,0.0952276220431866,6.399,6.216,6.488,6.043,6.569,6.385,0.0139999999999993,,,,,A_gene_scaling
4,gene_scaling,2000,3000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,PcaGrid,PcaGrid,none,,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,2983,2986,2987,540.2778,4.94892571170753,2.21322686139491,539.488,537.035,542.063,535.033,547.77,539.461,0.0249999999999773,,,,,A_gene_scaling
4,gene_scaling,2000,3000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,PcaHubert,PcaHubert,none,,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,2983,2986,2987,10.3396,0.135876046454112,0.0607656152770628,10.326,10.26,10.33,10.215,10.567,10.312,0.0139999999999993,,,,,A_gene_scaling
4,gene_scaling,2000,3000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,PCP,PCP,none,,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,2983,2986,2987,2133.2068,99.5095610818377,44.5020285980313,2155.304,2067.789,2181.778,2003.169,2257.994,2155.289,0.0140000000001237,,,,,A_gene_scaling
4,gene_scaling,2000,3000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,K's tau,K's tau,none,,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,2983,2986,2987,3.176,0.0324884594894863,0.0145292807805479,3.164,3.16,3.199,3.138,3.219,3.149,0.0150000000000006,0.429,0.146000000000001,2.066,0.526999999999998,A_gene_scaling
4,gene_scaling,2000,3000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,Winsor,Winsor,pairwise_empirical_quantile,0.05,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,2983,2986,2987,3.42,0.110541847279661,0.0494358169751447,3.376,3.349,3.446,3.328,3.601,3.362,0.0140000000000029,0.443,0.375,2.047,0.510000000000002,A_gene_scaling
4,gene_scaling,2000,3000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,Quad,Quad,pairwise_empirical_quantile,0.05,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,2983,2986,2987,3.4908,0.152344018589507,0.0681303163063258,3.43,3.422,3.448,3.393,3.761,3.416,0.0139999999999993,0.436999999999999,0.375,2.062,0.553999999999999,A_gene_scaling
4,gene_scaling,2000,3000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,Ball,Ball,pairwise_empirical_quantile,0.05,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,2983,2986,2987,3.3574,0.0715108383393735,0.0319806191309674,3.37,3.33,3.402,3.25,3.435,3.356,0.0139999999999993,0.437999999999999,0.826000000000001,1.55,0.538999999999998,A_gene_scaling
4,gene_scaling,2000,3000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,Shell,Shell,pairwise_empirical_quantile,0.05,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,2983,2986,2987,3.4862,0.119175081287994,0.0532967165968036,3.456,3.421,3.531,3.356,3.667,3.442,0.0139999999999993,0.443000000000001,0.390000000000001,2.058,0.572000000000003,A_gene_scaling
4,gene_scaling,2000,3000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,LR,LR,pairwise_empirical_quantile,0.05,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,2983,2986,2987,3.4718,0.0995324067829166,0.0445122455061525,3.438,3.421,3.45,3.403,3.647,3.423,0.0140000000000029,0.419000000000001,0.917,1.563,0.523,A_gene_scaling
