DatasetName,Replicate,Method,subspace_pc10_mean_cos,Group
Bhattacherjee,12,Quad,0.995083289969438,Proposed
Bhattacherjee,13,Quad,0.995581621449534,Proposed
Bhattacherjee,14,Quad,0.994272085681267,Proposed
Bhattacherjee,15,Quad,0.994576291246845,Proposed
Bhattacherjee,16,Quad,0.995022696507785,Proposed
Bhattacherjee,17,Quad,0.99130736493181,Proposed
Bhattacherjee,18,Quad,0.994567796119542,Proposed
Bhattacherjee,19,Quad,0.994593802405887,Proposed
Bhattacherjee,20,Quad,0.990030696368186,Proposed
Bhattacherjee,1,Shell,0.995142630958594,Proposed
Bhattacherjee,2,Shell,0.995184932474848,Proposed
Bhattacherjee,3,Shell,0.994808918167785,Proposed
Bhattacherjee,4,Shell,0.995255559322677,Proposed
Bhattacherjee,5,Shell,0.992624430702482,Proposed
Bhattacherjee,6,Shell,0.994148581171179,Proposed
Bhattacherjee,7,Shell,0.993215413409729,Proposed
Bhattacherjee,8,Shell,0.989942829611716,Proposed
Bhattacherjee,9,Shell,0.994837665976573,Proposed
Bhattacherjee,10,Shell,0.993015158948959,Proposed
Bhattacherjee,11,Shell,0.99495308034089,Proposed
Bhattacherjee,12,Shell,0.994950101163915,Proposed
Bhattacherjee,13,Shell,0.995500476186868,Proposed
Bhattacherjee,14,Shell,0.994630576020987,Proposed
Bhattacherjee,15,Shell,0.994369041444799,Proposed
Bhattacherjee,16,Shell,0.994710612091967,Proposed
Bhattacherjee,17,Shell,0.99193154529306,Proposed
Bhattacherjee,18,Shell,0.994682894736085,Proposed
Bhattacherjee,19,Shell,0.994595440558649,Proposed
Bhattacherjee,20,Shell,0.993982019809051,Proposed
Bhattacherjee,1,Winsor,0.995330474973316,Proposed
Bhattacherjee,2,Winsor,0.995165949323865,Proposed
Bhattacherjee,3,Winsor,0.995117193643425,Proposed
Bhattacherjee,4,Winsor,0.995210883006735,Proposed
Bhattacherjee,5,Winsor,0.993017570196877,Proposed
Bhattacherjee,6,Winsor,0.994224227695027,Proposed
Bhattacherjee,7,Winsor,0.993207642579067,Proposed
Bhattacherjee,8,Winsor,0.987705260491691,Proposed
Bhattacherjee,9,Winsor,0.994800475853323,Proposed
Bhattacherjee,10,Winsor,0.993703012768044,Proposed
Bhattacherjee,11,Winsor,0.994883779410911,Proposed
Bhattacherjee,12,Winsor,0.995085646307062,Proposed
Bhattacherjee,13,Winsor,0.995581977712964,Proposed
Bhattacherjee,14,Winsor,0.994258425211701,Proposed
Bhattacherjee,15,Winsor,0.994582633957892,Proposed
Bhattacherjee,16,Winsor,0.99502944104762,Proposed
Bhattacherjee,17,Winsor,0.991282870889527,Proposed
Bhattacherjee,18,Winsor,0.994560660863382,Proposed
Bhattacherjee,19,Winsor,0.994569208749694,Proposed
Bhattacherjee,20,Winsor,0.9898289690546,Proposed
PBMCs,1,Ball,0.888223670850498,Proposed
PBMCs,2,Ball,0.8621346067764,Proposed
PBMCs,3,Ball,0.912180226295947,Proposed
PBMCs,4,Ball,0.912840640523273,Proposed
PBMCs,5,Ball,0.862746394999314,Proposed
PBMCs,6,Ball,0.894945592982325,Proposed
PBMCs,7,Ball,0.891012799656312,Proposed
PBMCs,8,Ball,0.899386367914294,Proposed
PBMCs,9,Ball,0.917199608293364,Proposed
PBMCs,10,Ball,0.908683098374314,Proposed
PBMCs,11,Ball,0.91698026017341,Proposed
PBMCs,12,Ball,0.886906581230369,Proposed
PBMCs,13,Ball,0.905429010461301,Proposed
PBMCs,14,Ball,0.894295202155661,Proposed
PBMCs,15,Ball,0.909221031066758,Proposed
PBMCs,16,Ball,0.908579748920215,Proposed
PBMCs,17,Ball,0.90819042574367,Proposed
PBMCs,18,Ball,0.90054157264567,Proposed
PBMCs,19,Ball,0.897142455101212,Proposed
PBMCs,20,Ball,0.904483769208209,Proposed
PBMCs,1,K's tau,0.902022310596397,Reference
PBMCs,2,K's tau,0.879128513049765,Reference
PBMCs,3,K's tau,0.916131360736647,Reference
PBMCs,4,K's tau,0.920586870665251,Reference
PBMCs,5,K's tau,0.869992209553697,Reference
PBMCs,6,K's tau,0.897320833978021,Reference
PBMCs,7,K's tau,0.893878335798483,Reference
PBMCs,8,K's tau,0.907607646818324,Reference
PBMCs,9,K's tau,0.921054544548008,Reference
PBMCs,10,K's tau,0.912161887146732,Reference
PBMCs,11,K's tau,0.922358906966872,Reference
PBMCs,12,K's tau,0.898294953424384,Reference
PBMCs,13,K's tau,0.910984793058346,Reference
PBMCs,14,K's tau,0.900172669622987,Reference
PBMCs,15,K's tau,0.913491623591587,Reference
PBMCs,16,K's tau,0.91053788772769,Reference
PBMCs,17,K's tau,0.913478934895643,Reference
PBMCs,18,K's tau,0.904773366827431,Reference
PBMCs,19,K's tau,0.90940559465428,Reference
PBMCs,20,K's tau,0.913272666607404,Reference
PBMCs,1,LR,0.888944532170017,Proposed
PBMCs,2,LR,0.862016917278714,Proposed
PBMCs,3,LR,0.913227293793399,Proposed
PBMCs,4,LR,0.914367080929621,Proposed
PBMCs,5,LR,0.858888014293862,Proposed
PBMCs,6,LR,0.895286826067151,Proposed
PBMCs,7,LR,0.89164785295307,Proposed
PBMCs,8,LR,0.900862489063968,Proposed
PBMCs,9,LR,0.917800632826632,Proposed
PBMCs,10,LR,0.909488230113843,Proposed
PBMCs,11,LR,0.917704595420397,Proposed
PBMCs,12,LR,0.888381614637083,Proposed
PBMCs,13,LR,0.906223981200599,Proposed
PBMCs,14,LR,0.892689507756095,Proposed
PBMCs,15,LR,0.909805589496874,Proposed
PBMCs,16,LR,0.908070991465911,Proposed
PBMCs,17,LR,0.908217779271725,Proposed
PBMCs,18,LR,0.901309037115572,Proposed
PBMCs,19,LR,0.899052339523236,Proposed
PBMCs,20,LR,0.907157434607341,Proposed
PBMCs,1,PCA,0.886879363495146,Reference
PBMCs,2,PCA,0.8576480096811,Reference
PBMCs,3,PCA,0.915314445167002,Reference
PBMCs,4,PCA,0.916098606478182,Reference
PBMCs,5,PCA,0.848629438893985,Reference
PBMCs,6,PCA,0.893484053138381,Reference
PBMCs,7,PCA,0.891469846764035,Reference
PBMCs,8,PCA,0.904607027833976,Reference
PBMCs,9,PCA,0.917836532163108,Reference
PBMCs,10,PCA,0.907499510173723,Reference
PBMCs,11,PCA,0.919615344475866,Reference
PBMCs,12,PCA,0.886323798937121,Reference
PBMCs,13,PCA,0.908144049786004,Reference
PBMCs,14,PCA,0.888451769056698,Reference
PBMCs,15,PCA,0.911603062402005,Reference
PBMCs,16,PCA,0.90343101998316,Reference
PBMCs,17,PCA,0.907917731235012,Reference
PBMCs,18,PCA,0.903924091499509,Reference
PBMCs,19,PCA,0.901930468423016,Reference
PBMCs,20,PCA,0.911882086535304,Reference
PBMCs,1,PCP,0.914544858751613,Reference
PBMCs,2,PCP,0.915270531512444,Reference
PBMCs,3,PCP,0.909091409950426,Reference
PBMCs,4,PCP,0.861476608022227,Reference
PBMCs,5,PCP,0.919458465217171,Reference
PBMCs,6,PCP,0.921136552537273,Reference
PBMCs,7,PCP,0.919743187354533,Reference
PBMCs,8,PCP,0.909671896781822,Reference
PBMCs,9,PCP,0.90745007587774,Reference
PBMCs,10,PCP,0.916058704041503,Reference
PBMCs,11,PCP,0.886503539892075,Reference
PBMCs,12,PCP,0.857358313134064,Reference
PBMCs,13,PCP,0.916233749056445,Reference
PBMCs,14,PCP,0.842159214940672,Reference
PBMCs,15,PCP,0.924985473452197,Reference
PBMCs,16,PCP,0.924206894107869,Reference
PBMCs,17,PCP,0.91781410479095,Reference
PBMCs,18,PCP,0.907528266590791,Reference
PBMCs,19,PCP,0.886189848665494,Reference
PBMCs,20,PCP,0.921506777949853,Reference
PBMCs,1,PcaGrid,0.445025803663946,Reference
PBMCs,2,PcaGrid,0.438319519192987,Reference
PBMCs,3,PcaGrid,0.471819378132239,Reference
PBMCs,4,PcaGrid,0.455637866634853,Reference
PBMCs,5,PcaGrid,0.452764697289402,Reference
PBMCs,6,PcaGrid,0.440384628190004,Reference
PBMCs,7,PcaGrid,0.457294674714097,Reference
PBMCs,8,PcaGrid,0.45030012864251,Reference
PBMCs,9,PcaGrid,0.46608881974948,Reference
PBMCs,10,PcaGrid,0.455447546026364,Reference
PBMCs,11,PcaGrid,0.42853947717497,Reference
PBMCs,12,PcaGrid,0.450346298263881,Reference
PBMCs,13,PcaGrid,0.437405510370817,Reference
PBMCs,14,PcaGrid,0.433247237146388,Reference
PBMCs,15,PcaGrid,0.458283855832638,Reference
PBMCs,16,PcaGrid,0.445154077719433,Reference
PBMCs,17,PcaGrid,0.457876659837217,Reference
PBMCs,18,PcaGrid,0.47566728687665,Reference
PBMCs,19,PcaGrid,0.459530020561389,Reference
PBMCs,20,PcaGrid,0.472783982938222,Reference
PBMCs,1,PcaHubert,0.68745512343991,Reference
PBMCs,2,PcaHubert,0.743168668844708,Reference
PBMCs,3,PcaHubert,0.730372062172379,Reference
PBMCs,4,PcaHubert,0.709712162489652,Reference
PBMCs,5,PcaHubert,0.667673782071216,Reference
PBMCs,6,PcaHubert,0.700111539030265,Reference
PBMCs,7,PcaHubert,0.730971613305219,Reference
PBMCs,8,PcaHubert,0.675300592890029,Reference
PBMCs,9,PcaHubert,0.721061663141199,Reference
PBMCs,10,PcaHubert,0.67103921139578,Reference
PBMCs,11,PcaHubert,0.723889612260936,Reference
PBMCs,12,PcaHubert,0.769696233498614,Reference
PBMCs,13,PcaHubert,0.741682422350451,Reference
PBMCs,14,PcaHubert,0.728307962551457,Reference
PBMCs,15,PcaHubert,0.750183410535363,Reference
PBMCs,16,PcaHubert,0.681994123352321,Reference
PBMCs,17,PcaHubert,0.733501277205891,Reference
PBMCs,18,PcaHubert,0.759734511594919,Reference
PBMCs,19,PcaHubert,0.725058320211172,Reference
PBMCs,20,PcaHubert,0.694757401831963,Reference
PBMCs,1,Quad,0.887041512300795,Proposed
PBMCs,2,Quad,0.85904567896494,Proposed
PBMCs,3,Quad,0.914944463550161,Proposed
PBMCs,4,Quad,0.91581545545293,Proposed
PBMCs,5,Quad,0.850479223843364,Proposed
PBMCs,6,Quad,0.893682799563285,Proposed
PBMCs,7,Quad,0.891397505599534,Proposed
PBMCs,8,Quad,0.903817033521273,Proposed
PBMCs,9,Quad,0.917878286709775,Proposed
PBMCs,10,Quad,0.908725400990429,Proposed
PBMCs,11,Quad,0.919266195212104,Proposed
PBMCs,12,Quad,0.884525441399517,Proposed
PBMCs,13,Quad,0.907933028976639,Proposed
PBMCs,14,Quad,0.888430262602165,Proposed
PBMCs,15,Quad,0.911302246939225,Proposed
PBMCs,16,Quad,0.904354740883367,Proposed
PBMCs,17,Quad,0.907980629555593,Proposed
PBMCs,18,Quad,0.903413942410077,Proposed
PBMCs,19,Quad,0.901488548960944,Proposed
PBMCs,20,Quad,0.911265898498731,Proposed
PBMCs,1,Shell,0.888082260910081,Proposed
PBMCs,2,Shell,0.859566972383385,Proposed
PBMCs,3,Shell,0.91305209468775,Proposed
PBMCs,4,Shell,0.914344551508131,Proposed
PBMCs,5,Shell,0.859090856417616,Proposed
PBMCs,6,Shell,0.895591805061076,Proposed
PBMCs,7,Shell,0.890913723305856,Proposed
PBMCs,8,Shell,0.900127731990221,Proposed
PBMCs,9,Shell,0.917240520002742,Proposed
PBMCs,10,Shell,0.908867347048812,Proposed
PBMCs,11,Shell,0.916640156422303,Proposed
PBMCs,12,Shell,0.885022753284104,Proposed
PBMCs,13,Shell,0.905781992638598,Proposed
PBMCs,14,Shell,0.891217563859345,Proposed
PBMCs,15,Shell,0.909153042125743,Proposed
PBMCs,16,Shell,0.906818329349962,Proposed
PBMCs,17,Shell,0.907790735048592,Proposed
PBMCs,18,Shell,0.901557278728177,Proposed
PBMCs,19,Shell,0.898581938531567,Proposed
PBMCs,20,Shell,0.907543958227391,Proposed
PBMCs,1,Winsor,0.886815907170831,Proposed
PBMCs,2,Winsor,0.858828113641731,Proposed
PBMCs,3,Winsor,0.915040760610557,Proposed
PBMCs,4,Winsor,0.91587879644508,Proposed
PBMCs,5,Winsor,0.850006038262143,Proposed
PBMCs,6,Winsor,0.893561556004932,Proposed
PBMCs,7,Winsor,0.891346948994344,Proposed
PBMCs,8,Winsor,0.904014948520369,Proposed
PBMCs,9,Winsor,0.917820681897366,Proposed
PBMCs,10,Winsor,0.908472146546787,Proposed
PBMCs,11,Winsor,0.919369811209551,Proposed
PBMCs,12,Winsor,0.883910205294582,Proposed
PBMCs,13,Winsor,0.908022247414304,Proposed
PBMCs,14,Winsor,0.888172273053206,Proposed
PBMCs,15,Winsor,0.911389944628054,Proposed
PBMCs,16,Winsor,0.90390791741593,Proposed
PBMCs,17,Winsor,0.907948658114496,Proposed
PBMCs,18,Winsor,0.903691514558926,Proposed
PBMCs,19,Winsor,0.901619155323515,Proposed
PBMCs,20,Winsor,0.911513355094644,Proposed
Pancreas,1,Ball,0.974216999828197,Proposed
Pancreas,2,Ball,0.967202581211954,Proposed
Pancreas,3,Ball,0.960929992969298,Proposed
