DatasetName,Method,Metric,Replicate,ClusterRep,ARI,Group,ObservationLevel,Figure6SummaryLevel,ResultStatus
Bhattacherjee,PcaGrid,FULL vs labels,,1,0.096920803752505,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PcaGrid,FULL vs labels,,2,0.122111963486385,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PcaGrid,FULL vs labels,,3,0.116655989793748,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PcaGrid,FULL vs labels,,4,0.110947253772124,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PcaGrid,FULL vs labels,,5,0.102580588382269,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PcaGrid,FULL vs labels,,6,0.152210161156062,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PcaGrid,FULL vs labels,,7,0.114611996965422,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PcaGrid,FULL vs labels,,8,0.0606104489456397,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PcaGrid,FULL vs labels,,9,0.101795220847384,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PcaGrid,FULL vs labels,,10,0.141341533722103,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PcaHubert,FULL vs labels,,1,0.143243033830066,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PcaHubert,FULL vs labels,,2,0.174534151192764,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PcaHubert,FULL vs labels,,3,0.152690387818188,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PcaHubert,FULL vs labels,,4,0.16851586463971,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PcaHubert,FULL vs labels,,5,0.158740948934887,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PcaHubert,FULL vs labels,,6,0.169432031183289,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PcaHubert,FULL vs labels,,7,0.148625839240878,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PcaHubert,FULL vs labels,,8,0.146067645067009,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PcaHubert,FULL vs labels,,9,0.168690938566197,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PcaHubert,FULL vs labels,,10,0.17037908143705,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Quad,FULL vs labels,,1,0.281641992298312,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Quad,FULL vs labels,,2,0.252373018539593,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Quad,FULL vs labels,,3,0.259716831280675,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Quad,FULL vs labels,,4,0.223454729810742,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Quad,FULL vs labels,,5,0.243211570031512,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Quad,FULL vs labels,,6,0.250914670696674,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Quad,FULL vs labels,,7,0.270157701135375,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Quad,FULL vs labels,,8,0.261408528577604,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Quad,FULL vs labels,,9,0.248154306979441,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Quad,FULL vs labels,,10,0.246601199214353,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Shell,FULL vs labels,,1,0.269575796080491,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Shell,FULL vs labels,,2,0.249575193739586,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Shell,FULL vs labels,,3,0.309023976533052,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Shell,FULL vs labels,,4,0.248248295728231,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Shell,FULL vs labels,,5,0.25760593779389,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Shell,FULL vs labels,,6,0.246491599427016,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Shell,FULL vs labels,,7,0.243685393312229,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Shell,FULL vs labels,,8,0.24740832845147,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Shell,FULL vs labels,,9,0.252247603715198,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Shell,FULL vs labels,,10,0.247224724270444,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Winsor,FULL vs labels,,1,0.259699130388234,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Winsor,FULL vs labels,,2,0.229054579512133,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Winsor,FULL vs labels,,3,0.252095855736271,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Winsor,FULL vs labels,,4,0.254607661064217,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Winsor,FULL vs labels,,5,0.252894248355547,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Winsor,FULL vs labels,,6,0.241483294594035,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Winsor,FULL vs labels,,7,0.251217605587274,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Winsor,FULL vs labels,,8,0.245429796194477,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Winsor,FULL vs labels,,9,0.313580943268148,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Winsor,FULL vs labels,,10,0.245210924371781,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,1,1,0.585977093387607,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,1,2,0.831340871384551,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,1,3,0.656778015393427,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
