PerturbationCondition,Level,Method,Mean,SD,Median,Q1,Q3,N
Shifted-cell fraction,6%,LR,0.964094270840103,0.0485750358173136,0.983162844609484,0.952648829065018,0.992928932121461,10
Doublet fraction,2%,PCA,0.812208009072603,0.0600648573691243,0.83650871691072,0.766176636493163,0.855398670126993,10
Doublet fraction,2%,PcaGrid,0.0671988803307889,0.0628417790325488,0.0946488481723717,0.000821696375715066,0.0986061710706903,10
Doublet fraction,2%,PcaHubert,0.647512493794311,0.100348228186511,0.640176112227788,0.590726977883716,0.724571438457796,10
Doublet fraction,2%,PCP,0.874220424198214,0.076967061027394,0.893119851987817,0.858842076880495,0.922216431775483,10
Doublet fraction,2%,K's tau,0.787951384932679,0.0518417510229661,0.767359819824683,0.753622602250217,0.800839121564596,10
Doublet fraction,2%,Winsor,0.836853813420646,0.0719424768845307,0.87088272646336,0.833009780771407,0.882719265124945,10
Doublet fraction,2%,Quad,0.824553189123657,0.0641261500998368,0.828240404650126,0.799623473813988,0.874445566886496,10
Doublet fraction,2%,Ball,0.834240543192948,0.0652733573171694,0.833663533417874,0.797916955817039,0.884472033430654,10
Doublet fraction,2%,Shell,0.85860962007153,0.0391912136473905,0.857309228950483,0.83677808518108,0.889557652561929,10
Doublet fraction,2%,LR,0.826613364342034,0.0542692444946249,0.818345821477038,0.781285642532274,0.860593472216076,10
Doublet fraction,5%,PCA,0.743543903340119,0.0669641697188523,0.73550068335303,0.699302170960069,0.781758266142385,10
Doublet fraction,5%,PcaGrid,0.029355443620376,0.0453825806162528,0.0016528480619318,0.000873877694199201,0.0703983015233357,10
Doublet fraction,5%,PcaHubert,0.576297175494424,0.0622608900218727,0.600578167809865,0.534485211509556,0.614133957563408,10
Doublet fraction,5%,PCP,0.78989423986794,0.0704674551968954,0.773337058953846,0.733803461251788,0.844820463939355,10
Doublet fraction,5%,K's tau,0.674534597486937,0.0627533245296351,0.646964688844677,0.637919590521589,0.707784908854677,10
Doublet fraction,5%,Winsor,0.733756199252484,0.0661477218809898,0.74829120738167,0.673022445483379,0.782897153240014,10
Doublet fraction,5%,Quad,0.740915748209167,0.0667919932917074,0.748940400026562,0.702387969204466,0.788983459038064,10
Doublet fraction,5%,Ball,0.721902821976223,0.0876827161451245,0.727508521652986,0.701469164913434,0.749002943952842,10
Doublet fraction,5%,Shell,0.776364362377752,0.0831325170600722,0.77506459561305,0.749309995318779,0.847443326302771,10
Doublet fraction,5%,LR,0.728652423523161,0.0917639313558448,0.730606158008521,0.680894260878708,0.783865227160373,10
Doublet fraction,8%,PCA,0.679656640296615,0.0665979512646717,0.68507966384302,0.61872641349873,0.717226723200096,10
Doublet fraction,8%,PcaGrid,0.0110211125111912,0.0279271519168895,0.00116677428885672,0.000696653567159818,0.00203140256389371,10
Doublet fraction,8%,PcaHubert,0.555925766438786,0.0430871082382455,0.557432683626574,0.524929934261732,0.581744116314113,10
Doublet fraction,8%,PCP,0.748715183117193,0.0478287764547451,0.738224694170589,0.72678071601196,0.748277898478581,10
Doublet fraction,8%,K's tau,0.637263783235614,0.0431681192319166,0.64986211537406,0.59808171677279,0.66401039248352,10
Doublet fraction,8%,Winsor,0.668344954099699,0.0374736076959184,0.661706144664329,0.648519765283973,0.682066501933641,10
Doublet fraction,8%,Quad,0.656462620888578,0.0444226118432044,0.65326899802774,0.639401181715196,0.670448730454011,10
Doublet fraction,8%,Ball,0.669844997038855,0.0560911960733023,0.675585862854836,0.647479235712406,0.689408579624769,10
Doublet fraction,8%,Shell,0.699624041756754,0.0797329329776082,0.707304329482816,0.63647091818919,0.753698953718597,10
Doublet fraction,8%,LR,0.675125665202151,0.033177591070967,0.676949647848366,0.655725623743784,0.688076896719699,10
Doublet fraction,10%,PCA,0.683114645217128,0.0605803313849725,0.680724033229269,0.647475413970876,0.706792219361481,10
Doublet fraction,10%,PcaGrid,0.0109850526123834,0.0286110544119674,0.00183511781057149,0.000795617308171624,0.00274109282702741,10
Doublet fraction,10%,PcaHubert,0.537687507409529,0.0558283666035492,0.519492815341812,0.496985899538935,0.586317855794025,10
Doublet fraction,10%,PCP,0.711278868216732,0.0560913357075796,0.730095378912378,0.664188961876462,0.7509430842211,10
Doublet fraction,10%,K's tau,0.577444433539312,0.0418842940319899,0.587849648171758,0.554504816858383,0.605401410339128,10
Doublet fraction,10%,Winsor,0.680613855974583,0.0390669085362274,0.694750718459482,0.645183294953081,0.710219065584168,10
Doublet fraction,10%,Quad,0.672285563519684,0.0362196968157387,0.67760992347087,0.65258137788807,0.699650686525539,10
Doublet fraction,10%,Ball,0.646447295248237,0.032679544185042,0.638223503832803,0.624607102237286,0.674474165884249,10
Doublet fraction,10%,Shell,0.664719293031702,0.0509415533373733,0.66154311522725,0.651454093081921,0.703407601455074,10
