BaseID,Replicate,ParamID,Condition,dropout_mid,doublet_frac,cell_frac,meanlog,Method,PC,AbsoluteCosine
1,1,2,dropout,-1,,,,PcaHubert,20,0.103697084433305
1,1,2,dropout,-1,,,,Quad,1,0.691619168847055
1,1,2,dropout,-1,,,,Quad,2,0.679625604567597
1,1,2,dropout,-1,,,,Quad,3,0.854619324486514
1,1,2,dropout,-1,,,,Quad,4,0.801991249025443
1,1,2,dropout,-1,,,,Quad,5,0.683291676151963
1,1,2,dropout,-1,,,,Quad,6,0.0215027553891599
1,1,2,dropout,-1,,,,Quad,7,0.0139946621180163
1,1,2,dropout,-1,,,,Quad,8,0.00539765907913189
1,1,2,dropout,-1,,,,Quad,9,0.020792507722461
1,1,2,dropout,-1,,,,Quad,10,0.0108678985986399
1,1,2,dropout,-1,,,,Quad,11,0.0217814680022106
1,1,2,dropout,-1,,,,Quad,12,0.0571124771361952
1,1,2,dropout,-1,,,,Quad,13,0.0370977622024784
1,1,2,dropout,-1,,,,Quad,14,0.00213503343758326
1,1,2,dropout,-1,,,,Quad,15,0.0279769091115213
1,1,2,dropout,-1,,,,Quad,16,0.0157219612517824
1,1,2,dropout,-1,,,,Quad,17,0.0292103448643136
1,1,2,dropout,-1,,,,Quad,18,0.0449661884173921
1,1,2,dropout,-1,,,,Quad,19,0.00911631443592705
1,1,2,dropout,-1,,,,Quad,20,0.00520109680426899
1,1,2,dropout,-1,,,,Shell,1,0.664373601894085
1,1,2,dropout,-1,,,,Shell,2,0.651604328285246
1,1,2,dropout,-1,,,,Shell,3,0.85263254902908
1,1,2,dropout,-1,,,,Shell,4,0.793963003315252
1,1,2,dropout,-1,,,,Shell,5,0.677863930412327
1,1,2,dropout,-1,,,,Shell,6,0.0660444679162611
1,1,2,dropout,-1,,,,Shell,7,0.00396362354222543
1,1,2,dropout,-1,,,,Shell,8,0.0281475256524475
1,1,2,dropout,-1,,,,Shell,9,0.00245490114688274
1,1,2,dropout,-1,,,,Shell,10,0.000661912973946872
1,1,2,dropout,-1,,,,Shell,11,0.048201953993281
1,1,2,dropout,-1,,,,Shell,12,0.0334311898357614
1,1,2,dropout,-1,,,,Shell,13,0.0317664582306323
1,1,2,dropout,-1,,,,Shell,14,0.0224955585072001
1,1,2,dropout,-1,,,,Shell,15,0.00550444948115488
1,1,2,dropout,-1,,,,Shell,16,0.0555593646143981
1,1,2,dropout,-1,,,,Shell,17,0.0342654374541162
1,1,2,dropout,-1,,,,Shell,18,0.043916461471162
1,1,2,dropout,-1,,,,Shell,19,0.00593277158012412
1,1,2,dropout,-1,,,,Shell,20,0.0493795921772819
1,1,2,dropout,-1,,,,Winsor,1,0.698295519192661
1,1,2,dropout,-1,,,,Winsor,2,0.686309391031573
1,1,2,dropout,-1,,,,Winsor,3,0.854790693415347
1,1,2,dropout,-1,,,,Winsor,4,0.802434217009752
1,1,2,dropout,-1,,,,Winsor,5,0.682362212183327
1,1,2,dropout,-1,,,,Winsor,6,0.00454835017832382
1,1,2,dropout,-1,,,,Winsor,7,0.0238264403026026
1,1,2,dropout,-1,,,,Winsor,8,0.000479097120650568
1,1,2,dropout,-1,,,,Winsor,9,0.0393102297014716
1,1,2,dropout,-1,,,,Winsor,10,0.00649163435145157
1,1,2,dropout,-1,,,,Winsor,11,0.0271293796343203
1,1,2,dropout,-1,,,,Winsor,12,0.058462028485295
1,1,2,dropout,-1,,,,Winsor,13,0.0253375260347893
1,1,2,dropout,-1,,,,Winsor,14,0.0487361050775199
1,1,2,dropout,-1,,,,Winsor,15,0.034992795115909
1,1,2,dropout,-1,,,,Winsor,16,0.000948868597541124
1,1,2,dropout,-1,,,,Winsor,17,0.0323127906750703
1,1,2,dropout,-1,,,,Winsor,18,0.0401118560036898
1,1,2,dropout,-1,,,,Winsor,19,0.021998995912986
1,1,2,dropout,-1,,,,Winsor,20,0.0215081206078826
1,2,2,dropout,-1,,,,Ball,1,0.386861868608139
1,2,2,dropout,-1,,,,Ball,2,0.373477446527686
1,2,2,dropout,-1,,,,Ball,3,0.892769617124854
1,2,2,dropout,-1,,,,Ball,4,0.850347973256589
1,2,2,dropout,-1,,,,Ball,5,0.722040701754488
1,2,2,dropout,-1,,,,Ball,6,0.0293823580855984
1,2,2,dropout,-1,,,,Ball,7,0.00690205769852122
1,2,2,dropout,-1,,,,Ball,8,0.0704042553829403
1,2,2,dropout,-1,,,,Ball,9,0.024115889091613
1,2,2,dropout,-1,,,,Ball,10,0.0259409213793117
1,2,2,dropout,-1,,,,Ball,11,0.00101196475436028
1,2,2,dropout,-1,,,,Ball,12,0.0577389683691462
1,2,2,dropout,-1,,,,Ball,13,0.0219069303743653
1,2,2,dropout,-1,,,,Ball,14,0.0489968264558598
1,2,2,dropout,-1,,,,Ball,15,0.0242962945229717
1,2,2,dropout,-1,,,,Ball,16,0.0457273019544359
1,2,2,dropout,-1,,,,Ball,17,0.0540489559466698
1,2,2,dropout,-1,,,,Ball,18,0.00952609452795687
1,2,2,dropout,-1,,,,Ball,19,0.0156322281014562
1,2,2,dropout,-1,,,,Ball,20,0.00764839179638323
1,2,2,dropout,-1,,,,K's tau,1,0.347955624762747
1,2,2,dropout,-1,,,,K's tau,2,0.339867568182448
1,2,2,dropout,-1,,,,K's tau,3,0.893160165978904
1,2,2,dropout,-1,,,,K's tau,4,0.852438478705208
1,2,2,dropout,-1,,,,K's tau,5,0.723098521041596
1,2,2,dropout,-1,,,,K's tau,6,0.00596083658462934
1,2,2,dropout,-1,,,,K's tau,7,0.0731035602590142
1,2,2,dropout,-1,,,,K's tau,8,0.0438935291950562
1,2,2,dropout,-1,,,,K's tau,9,0.0311702300554217
1,2,2,dropout,-1,,,,K's tau,10,0.0211078253699782
1,2,2,dropout,-1,,,,K's tau,11,0.00990640098126956
1,2,2,dropout,-1,,,,K's tau,12,0.0417962609260052
1,2,2,dropout,-1,,,,K's tau,13,0.0238105708708968
1,2,2,dropout,-1,,,,K's tau,14,0.000440199016202607
1,2,2,dropout,-1,,,,K's tau,15,0.018417859938597
1,2,2,dropout,-1,,,,K's tau,16,0.0702243211064779
1,2,2,dropout,-1,,,,K's tau,17,0.0454439648984382
1,2,2,dropout,-1,,,,K's tau,18,0.000237745948000453
1,2,2,dropout,-1,,,,K's tau,19,0.0361110692460142
1,2,2,dropout,-1,,,,K's tau,20,0.0402534690458124
1,2,2,dropout,-1,,,,LR,1,0.414895102862302
1,2,2,dropout,-1,,,,LR,2,0.400490447488876
1,2,2,dropout,-1,,,,LR,3,0.89271864024728
1,2,2,dropout,-1,,,,LR,4,0.850406544634935
1,2,2,dropout,-1,,,,LR,5,0.722571689746035
1,2,2,dropout,-1,,,,LR,6,0.0284047109425349
1,2,2,dropout,-1,,,,LR,7,0.0847349176548207
1,2,2,dropout,-1,,,,LR,8,0.057131911154012
1,2,2,dropout,-1,,,,LR,9,0.0457529547826443
1,2,2,dropout,-1,,,,LR,10,0.00155523848046644
1,2,2,dropout,-1,,,,LR,11,0.011868760426959
1,2,2,dropout,-1,,,,LR,12,0.0480271292879183
1,2,2,dropout,-1,,,,LR,13,0.0353545063356664
1,2,2,dropout,-1,,,,LR,14,0.0525575389842711
1,2,2,dropout,-1,,,,LR,15,0.0142347591513627
1,2,2,dropout,-1,,,,LR,16,0.0405725500977233
1,2,2,dropout,-1,,,,LR,17,0.0742207543263306
1,2,2,dropout,-1,,,,LR,18,0.00593733824803355
1,2,2,dropout,-1,,,,LR,19,0.00257469764125075
1,2,2,dropout,-1,,,,LR,20,0.0140165453566894
1,2,2,dropout,-1,,,,PCA,1,0.568797968280211
1,2,2,dropout,-1,,,,PCA,2,0.553249206586966
1,2,2,dropout,-1,,,,PCA,3,0.891793540278324
1,2,2,dropout,-1,,,,PCA,4,0.84679078570919
1,2,2,dropout,-1,,,,PCA,5,0.714154796293042
1,2,2,dropout,-1,,,,PCA,6,0.0383746313899112
1,2,2,dropout,-1,,,,PCA,7,0.0383886482352733
1,2,2,dropout,-1,,,,PCA,8,0.010976917222362
1,2,2,dropout,-1,,,,PCA,9,0.0238110327340839
1,2,2,dropout,-1,,,,PCA,10,0.0157714209863312
1,2,2,dropout,-1,,,,PCA,11,0.0112938000003729
1,2,2,dropout,-1,,,,PCA,12,0.0638220348689541
1,2,2,dropout,-1,,,,PCA,13,0.0549991858869473
1,2,2,dropout,-1,,,,PCA,14,0.0238782804321343
1,2,2,dropout,-1,,,,PCA,15,0.034008193123533
1,2,2,dropout,-1,,,,PCA,16,0.0214532050716714
1,2,2,dropout,-1,,,,PCA,17,3.55533717805119e-05
1,2,2,dropout,-1,,,,PCA,18,0.00851041477659841
1,2,2,dropout,-1,,,,PCA,19,0.0591531123929792
1,2,2,dropout,-1,,,,PCA,20,0.0282098808588449
1,2,2,dropout,-1,,,,PCP,1,0.911067989728063
1,2,2,dropout,-1,,,,PCP,2,0.0159017112953149
1,2,2,dropout,-1,,,,PCP,3,0.218946932071024
1,2,2,dropout,-1,,,,PCP,4,0.0372288321219596
1,2,2,dropout,-1,,,,PCP,5,0.878814668924486
1,2,2,dropout,-1,,,,PCP,6,0.734992204175239
1,2,2,dropout,-1,,,,PCP,7,0.0826132069440516
1,2,2,dropout,-1,,,,PCP,8,0.0512846102619167
1,2,2,dropout,-1,,,,PCP,9,0.0448135154601518
1,2,2,dropout,-1,,,,PCP,10,0.00984213784559836
1,2,2,dropout,-1,,,,PCP,11,0.000367576628397862
1,2,2,dropout,-1,,,,PCP,12,0.0122724362133774
1,2,2,dropout,-1,,,,PCP,13,0.0488223937267209
1,2,2,dropout,-1,,,,PCP,14,0.0602513361927544
1,2,2,dropout,-1,,,,PCP,15,0.0637492368711549
1,2,2,dropout,-1,,,,PCP,16,0.0441001096271027
1,2,2,dropout,-1,,,,PCP,17,0.0871237000626327
1,2,2,dropout,-1,,,,PCP,18,0.0327309550570972
1,2,2,dropout,-1,,,,PCP,19,0.0343083028332533
1,2,2,dropout,-1,,,,PCP,20,0.0611736057397566
1,2,2,dropout,-1,,,,PcaGrid,1,4.44405847830706e-06
1,2,2,dropout,-1,,,,PcaGrid,2,0.000210965046583836
1,2,2,dropout,-1,,,,PcaGrid,3,0.000183942413768792
1,2,2,dropout,-1,,,,PcaGrid,4,0.00015161589556147
1,2,2,dropout,-1,,,,PcaGrid,5,0.000135938328831881
1,2,2,dropout,-1,,,,PcaGrid,6,0.00360587611988621
1,2,2,dropout,-1,,,,PcaGrid,7,0.00200579747585587
1,2,2,dropout,-1,,,,PcaGrid,8,1.10400362467261e-05
1,2,2,dropout,-1,,,,PcaGrid,9,0.000521989873610126
1,2,2,dropout,-1,,,,PcaGrid,10,0.000226089082825586
1,2,2,dropout,-1,,,,PcaGrid,11,0.000315014186850184
1,2,2,dropout,-1,,,,PcaGrid,12,0.00282114157856375
1,2,2,dropout,-1,,,,PcaGrid,13,4.50229891253464e-05
1,2,2,dropout,-1,,,,PcaGrid,14,0.0080508314455015
1,2,2,dropout,-1,,,,PcaGrid,15,0.00226944308890402
1,2,2,dropout,-1,,,,PcaGrid,16,5.8768709602337e-05
1,2,2,dropout,-1,,,,PcaGrid,17,0.000163753579345095
1,2,2,dropout,-1,,,,PcaGrid,18,0.000356426984475793
1,2,2,dropout,-1,,,,PcaGrid,19,0.000119135282769235
1,2,2,dropout,-1,,,,PcaGrid,20,0.000264497844304501
1,2,2,dropout,-1,,,,PcaHubert,1,0.00382269092099855
1,2,2,dropout,-1,,,,PcaHubert,2,0.0894678962742661
1,2,2,dropout,-1,,,,PcaHubert,3,0.245274636012839
1,2,2,dropout,-1,,,,PcaHubert,4,0.821691284496385
1,2,2,dropout,-1,,,,PcaHubert,5,0.0362207432429681
1,2,2,dropout,-1,,,,PcaHubert,6,0.0372321279525324
1,2,2,dropout,-1,,,,PcaHubert,7,0.0366107595186007
1,2,2,dropout,-1,,,,PcaHubert,8,0.0343345291157454
1,2,2,dropout,-1,,,,PcaHubert,9,0.0298895818824594
1,2,2,dropout,-1,,,,PcaHubert,10,0.0353291232841385
1,2,2,dropout,-1,,,,PcaHubert,11,0.0920317746785947
1,2,2,dropout,-1,,,,PcaHubert,12,0.0524404062043327
1,2,2,dropout,-1,,,,PcaHubert,13,0.0490908364268575
1,2,2,dropout,-1,,,,PcaHubert,14,0.00380910632429775
1,2,2,dropout,-1,,,,PcaHubert,15,0.00458464867308638
1,2,2,dropout,-1,,,,PcaHubert,16,0.0873803182332493
1,2,2,dropout,-1,,,,PcaHubert,17,0.0440812734672357
1,2,2,dropout,-1,,,,PcaHubert,18,0.0577232028377672
1,2,2,dropout,-1,,,,PcaHubert,19,0.010357310010018
1,2,2,dropout,-1,,,,PcaHubert,20,0.00301836292745792
1,2,2,dropout,-1,,,,Quad,1,0.536428500410027
1,2,2,dropout,-1,,,,Quad,2,0.520999060994725
1,2,2,dropout,-1,,,,Quad,3,0.892504235715894
1,2,2,dropout,-1,,,,Quad,4,0.848399963212108
1,2,2,dropout,-1,,,,Quad,5,0.717839427041495
1,2,2,dropout,-1,,,,Quad,6,0.0109045966912355
1,2,2,dropout,-1,,,,Quad,7,0.0913703696263855
1,2,2,dropout,-1,,,,Quad,8,0.0251482211254583
1,2,2,dropout,-1,,,,Quad,9,0.0576885719054738
1,2,2,dropout,-1,,,,Quad,10,0.0214192343371946
1,2,2,dropout,-1,,,,Quad,11,0.00875858125090341
1,2,2,dropout,-1,,,,Quad,12,0.0548483779402271
1,2,2,dropout,-1,,,,Quad,13,0.00774339447074027
1,2,2,dropout,-1,,,,Quad,14,0.00328024752455612
1,2,2,dropout,-1,,,,Quad,15,0.0313842456361943
1,2,2,dropout,-1,,,,Quad,16,0.0222549516483235
1,2,2,dropout,-1,,,,Quad,17,0.0113278666143133
1,2,2,dropout,-1,,,,Quad,18,0.0257392863549482
1,2,2,dropout,-1,,,,Quad,19,0.0589246043705018
1,2,2,dropout,-1,,,,Quad,20,0.0147212774352304
1,2,2,dropout,-1,,,,Shell,1,0.52386841863852
1,2,2,dropout,-1,,,,Shell,2,0.50683249330178
1,2,2,dropout,-1,,,,Shell,3,0.891976777336088
1,2,2,dropout,-1,,,,Shell,4,0.847865099943552
1,2,2,dropout,-1,,,,Shell,5,0.719865061618031
1,2,2,dropout,-1,,,,Shell,6,0.020203444736477
1,2,2,dropout,-1,,,,Shell,7,0.00503335929123274
1,2,2,dropout,-1,,,,Shell,8,0.0565931694512122
1,2,2,dropout,-1,,,,Shell,9,0.0551305751346196
1,2,2,dropout,-1,,,,Shell,10,0.0334239314232216
1,2,2,dropout,-1,,,,Shell,11,0.0168599562616926
1,2,2,dropout,-1,,,,Shell,12,0.024953811083004
1,2,2,dropout,-1,,,,Shell,13,0.0475274137589881
1,2,2,dropout,-1,,,,Shell,14,0.0214391143245454
1,2,2,dropout,-1,,,,Shell,15,0.00950593566945295
1,2,2,dropout,-1,,,,Shell,16,0.0096119780478094
1,2,2,dropout,-1,,,,Shell,17,0.0739116273750541
1,2,2,dropout,-1,,,,Shell,18,0.000413372822906696
1,2,2,dropout,-1,,,,Shell,19,0.0126099789604069
1,2,2,dropout,-1,,,,Shell,20,0.000602815676023816
1,2,2,dropout,-1,,,,Winsor,1,0.551437340975244
1,2,2,dropout,-1,,,,Winsor,2,0.535950327485525
1,2,2,dropout,-1,,,,Winsor,3,0.892235747821417
1,2,2,dropout,-1,,,,Winsor,4,0.847752519163353
1,2,2,dropout,-1,,,,Winsor,5,0.716389543714298
1,2,2,dropout,-1,,,,Winsor,6,0.00413776827047414
1,2,2,dropout,-1,,,,Winsor,7,0.0521296537006849
1,2,2,dropout,-1,,,,Winsor,8,0.00726338266756752
1,2,2,dropout,-1,,,,Winsor,9,0.0440266032823851
1,2,2,dropout,-1,,,,Winsor,10,0.0258031889222741
1,2,2,dropout,-1,,,,Winsor,11,0.00620157629980797
1,2,2,dropout,-1,,,,Winsor,12,0.037562821235032
1,2,2,dropout,-1,,,,Winsor,13,0.0453162067906106
1,2,2,dropout,-1,,,,Winsor,14,0.00847012335741676
1,2,2,dropout,-1,,,,Winsor,15,0.0349461380299981
1,2,2,dropout,-1,,,,Winsor,16,0.0234054143955348
1,2,2,dropout,-1,,,,Winsor,17,0.00905433311736364
1,2,2,dropout,-1,,,,Winsor,18,0.0526301123572886
1,2,2,dropout,-1,,,,Winsor,19,0.0520771931073852
1,2,2,dropout,-1,,,,Winsor,20,0.0273142025932117
1,3,2,dropout,-1,,,,Ball,1,0.909632678824636
1,3,2,dropout,-1,,,,Ball,2,0.829464689637663
1,3,2,dropout,-1,,,,Ball,3,0.841630846906813
1,3,2,dropout,-1,,,,Ball,4,0.838248065617039
1,3,2,dropout,-1,,,,Ball,5,0.673905664594656
1,3,2,dropout,-1,,,,Ball,6,0.00304028888398974
1,3,2,dropout,-1,,,,Ball,7,0.0103523461237829
1,3,2,dropout,-1,,,,Ball,8,0.0166446895768647
1,3,2,dropout,-1,,,,Ball,9,0.0290421552603545
1,3,2,dropout,-1,,,,Ball,10,0.0659441418153813
1,3,2,dropout,-1,,,,Ball,11,0.02249336559727
1,3,2,dropout,-1,,,,Ball,12,0.0274524070135939
1,3,2,dropout,-1,,,,Ball,13,0.00684710315869091
1,3,2,dropout,-1,,,,Ball,14,0.0369516114268585
1,3,2,dropout,-1,,,,Ball,15,0.0176724170186731
1,3,2,dropout,-1,,,,Ball,16,0.00794804488181643
1,3,2,dropout,-1,,,,Ball,17,0.0682271371001905
1,3,2,dropout,-1,,,,Ball,18,0.00301231277452904
1,3,2,dropout,-1,,,,Ball,19,0.0287250044024901
1,3,2,dropout,-1,,,,Ball,20,0.0566182743366549
1,3,2,dropout,-1,,,,K's tau,1,0.908175276495075
1,3,2,dropout,-1,,,,K's tau,2,0.831103152552842
1,3,2,dropout,-1,,,,K's tau,3,0.8481421053069
1,3,2,dropout,-1,,,,K's tau,4,0.840378536321681
1,3,2,dropout,-1,,,,K's tau,5,0.676537822437168
1,3,2,dropout,-1,,,,K's tau,6,0.00968590754435727
1,3,2,dropout,-1,,,,K's tau,7,0.0143844996730616
1,3,2,dropout,-1,,,,K's tau,8,0.011365179714489
1,3,2,dropout,-1,,,,K's tau,9,0.0447431209294992
1,3,2,dropout,-1,,,,K's tau,10,0.0102147963579725
1,3,2,dropout,-1,,,,K's tau,11,0.0393167446792578
1,3,2,dropout,-1,,,,K's tau,12,0.0237307938192257
1,3,2,dropout,-1,,,,K's tau,13,0.0071759198490669
1,3,2,dropout,-1,,,,K's tau,14,0.0651057591210895
1,3,2,dropout,-1,,,,K's tau,15,0.0200429842990484
1,3,2,dropout,-1,,,,K's tau,16,0.0786888478356691
1,3,2,dropout,-1,,,,K's tau,17,0.0239216233955186
1,3,2,dropout,-1,,,,K's tau,18,0.031980007443057
1,3,2,dropout,-1,,,,K's tau,19,0.00476283385404827
