Metric,PerturbationCondition,Level,Method,Mean,SD,N
ARI,Shifted-cell fraction,10%,Ball,0.962734973003318,0.0157378281050243,10
ARI,Shifted-cell fraction,10%,Shell,0.960974513162441,0.0159440891282461,10
ARI,Shifted-cell fraction,10%,LR,0.964466028271195,0.0132489648531595,10
ARI,Shift magnitude,1.5,PCA,0.962882970561628,0.0125283356149182,10
ARI,Shift magnitude,1.5,PcaGrid,0.00074610476481538,0.000920036765540237,10
ARI,Shift magnitude,1.5,PcaHubert,0.94636999851229,0.0318287353863709,10
ARI,Shift magnitude,1.5,PCP,0.964170296154383,0.0215302893174964,10
ARI,Shift magnitude,1.5,K's tau,0.966244134643981,0.0119922473427079,10
ARI,Shift magnitude,1.5,Winsor,0.964141284715183,0.0168912121547534,10
ARI,Shift magnitude,1.5,Quad,0.965320848272482,0.0146200301816925,10
ARI,Shift magnitude,1.5,Ball,0.963196357329602,0.0151822187166965,10
ARI,Shift magnitude,1.5,Shell,0.965037581731322,0.0150663034490761,10
ARI,Shift magnitude,1.5,LR,0.964562626045803,0.0155602464130495,10
ARI,Shift magnitude,2,PCA,0.961176969437904,0.0146548429854013,10
ARI,Shift magnitude,2,PcaGrid,0.00284776244280588,0.00329436180298834,10
ARI,Shift magnitude,2,PcaHubert,0.946204602908062,0.0300822382826783,10
ARI,Shift magnitude,2,PCP,0.949926432346625,0.0537962636800763,10
ARI,Shift magnitude,2,K's tau,0.966395266925559,0.0131865946727005,10
ARI,Shift magnitude,2,Winsor,0.965405037996813,0.0156653297200026,10
ARI,Shift magnitude,2,Quad,0.963522223124956,0.0154707307493168,10
ARI,Shift magnitude,2,Ball,0.967249964303784,0.013798784220603,10
ARI,Shift magnitude,2,Shell,0.9654958797639,0.0154339684989471,10
ARI,Shift magnitude,2,LR,0.964094104236016,0.0157113064962871,10
ARI,Shift magnitude,3,PCA,0.962543944958238,0.0161099663719477,10
ARI,Shift magnitude,3,PcaGrid,0.00199012528380979,0.00246358257578788,10
