BaseID,Replicate,ParamID,Condition,dropout_mid,doublet_frac,cell_frac,meanlog,Method,PCwisePC10,PCwisePC20
1,4,4,dropout,1,,,,PCA,0.356297638721916,0.189845614705593
1,4,4,dropout,1,,,,PCP,0.323391984193213,0.170333734393606
1,4,4,dropout,1,,,,PcaGrid,0.00166060274735325,0.00132285787407547
1,4,4,dropout,1,,,,PcaHubert,0.336584483786718,0.179685870474412
1,4,4,dropout,1,,,,Quad,0.355220659145353,0.188729963368427
1,4,4,dropout,1,,,,Shell,0.352721565706623,0.185259098333854
1,4,4,dropout,1,,,,Winsor,0.356310386683181,0.191661354553982
1,5,4,dropout,1,,,,Ball,0.381587644030111,0.197880732769877
1,5,4,dropout,1,,,,K's tau,0.386885427874733,0.207455823460604
1,5,4,dropout,1,,,,LR,0.382174451983636,0.200374873577945
1,5,4,dropout,1,,,,PCA,0.38503836120281,0.199791286607453
1,5,4,dropout,1,,,,PCP,0.402012057556119,0.214175633699592
1,5,4,dropout,1,,,,PcaGrid,0.00213157567558675,0.00143934008070184
1,5,4,dropout,1,,,,PcaHubert,0.361137110156514,0.190094682929534
1,5,4,dropout,1,,,,Quad,0.383209487909366,0.200300083059954
1,5,4,dropout,1,,,,Shell,0.380738956133073,0.200486050183919
1,5,4,dropout,1,,,,Winsor,0.37984373046423,0.199896363043978
1,6,4,dropout,1,,,,Ball,0.328268646551567,0.178398507991808
1,6,4,dropout,1,,,,K's tau,0.338308140960451,0.179520103028879
1,6,4,dropout,1,,,,LR,0.330130723969292,0.178660107605235
1,6,4,dropout,1,,,,PCA,0.328861651638958,0.176145788067334
1,6,4,dropout,1,,,,PCP,0.341505970025179,0.184788702261511
1,6,4,dropout,1,,,,PcaGrid,0.000355222527404944,0.000480370188398593
1,6,4,dropout,1,,,,PcaHubert,0.324863867494796,0.176887329255399
1,6,4,dropout,1,,,,Quad,0.335640793069753,0.17513679862744
1,6,4,dropout,1,,,,Shell,0.329719837546914,0.179604240777324
1,6,4,dropout,1,,,,Winsor,0.337201197886571,0.175164093269332
1,7,4,dropout,1,,,,Ball,0.357452099174563,0.190174027150819
1,7,4,dropout,1,,,,K's tau,0.359749411231871,0.189041631316942
1,7,4,dropout,1,,,,LR,0.356826938928174,0.186568704687975
1,7,4,dropout,1,,,,PCA,0.359130369323082,0.192091777270396
1,7,4,dropout,1,,,,PCP,0.362136113269576,0.193458359589559
1,7,4,dropout,1,,,,PcaGrid,0.000408609005537073,0.000767355885103634
1,7,4,dropout,1,,,,PcaHubert,0.351167469962244,0.18544400745835
1,7,4,dropout,1,,,,Quad,0.358276833792758,0.195562547799849
1,7,4,dropout,1,,,,Shell,0.358385184351538,0.192936708036512
1,7,4,dropout,1,,,,Winsor,0.359149662601599,0.19563398539369
1,8,4,dropout,1,,,,Ball,0.329935442983624,0.177066859426244
1,8,4,dropout,1,,,,K's tau,0.351835863936195,0.189569329052181
1,8,4,dropout,1,,,,LR,0.336387236816283,0.178844250268256
1,8,4,dropout,1,,,,PCA,0.353750007395019,0.187051584977536
1,8,4,dropout,1,,,,PCP,0.362264589428928,0.195557570594329
